Year,GDP ($Y_t$): Baseline,Labor ($L_t$): Baseline,Government Expenditures ($G_t$): Baseline,Lump sum transfers ($TR_t$): Baseline,Wealth ($B_t$): Baseline,Capital Stock ($K_t$): Baseline,Domestically-owned Capital Stock ($K^d_t$): Baseline,Foreign-owned Capital Stock ($K^f_t$): Baseline,Government Debt ($D_t$): Baseline,Domestically-owned Gov Debt ($D^d_t$): Baseline,Foreign-owned Gov Debt ($D^f_t$): Baseline,Real interest rate ($r_t$): Baseline,"Real interest rate on gov debt ($r_{gov,t}$): Baseline","Real interest rate on HH portfolio ($r_{p,t}$): Baseline",Wage rate: Baseline,Total tax revenue ($REV_t$): Baseline,Business tax revenue: Baseline,GDP ($Y_t$): Reform,Labor ($L_t$): Reform,Government Expenditures ($G_t$): Reform,Lump sum transfers ($TR_t$): Reform,Wealth ($B_t$): Reform,Capital Stock ($K_t$): Reform,Domestically-owned Capital Stock ($K^d_t$): Reform,Foreign-owned Capital Stock ($K^f_t$): Reform,Government Debt ($D_t$): Reform,Domestically-owned Gov Debt ($D^d_t$): Reform,Foreign-owned Gov Debt ($D^f_t$): Reform,Real interest rate ($r_t$): Reform,"Real interest rate on gov debt ($r_{gov,t}$): Reform","Real interest rate on HH portfolio ($r_{p,t}$): Reform",Wage rate: Reform,Total tax revenue ($REV_t$): Reform,Business tax revenue: Reform
2026,0.6153013993787868,0.2921970998158886,0.0069105221046173995,0.0376403998530235,2.3184104487750057,2.065104272471648,1.9744859127453382,0.09061835972630992,0.5732075600494457,0.34392453602966744,0.2292830240197783,0.06037730608765168,0.03947114606064063,0.055835158534107705,1.3038674295742863,0.11751710695103698,0.006374494592623202,0.621703111622598,0.2967280013927831,0.006982420484846863,0.038032013749533675,2.3184104487750057,2.069571130641573,1.9744859127453382,0.09508521789623464,0.5732075600494457,0.34392453602966744,0.2292830240197783,0.061277065288108626,0.04023338018528515,0.056712762768670766,1.2973164321360788,0.11439864395875478,0.006457220550490182
2027,0.6144487320330975,0.29368258672575415,0.006900945697760174,0.03758824199696627,2.275075814509705,2.040702322069625,1.9457454235840412,0.09495689848558408,0.5499862159886475,0.3293303909256641,0.2206558250629834,0.06153219266565988,0.040449512227282464,0.05705646576776839,1.2954745687614166,0.11746627400297034,0.006386423565790234,0.6208396749091841,0.29796217472362097,0.006972723125958993,0.03797919667246809,2.2816728963028368,2.0481625739822635,1.9493467069768085,0.09881586700545512,0.5537309639891026,0.3323261893260282,0.22140477466307443,0.062275311356394844,0.041079047801302365,0.05776433987748659,1.290148609073916,0.11433764816918113,0.006466117780985418
2028,0.6136970125105666,0.29476978849537305,0.006892503047731803,0.03754224736244483,2.239141804778548,2.02196805720628,1.9237386466409907,0.09822941056528918,0.5277980438450939,0.31540315813755715,0.21239488570753673,0.06242012612221351,0.041201728131999,0.05802793473638726,1.2891174266750136,0.11738342303000397,0.006394261849529093,0.6200484939450274,0.29882419099440477,0.006963837279856453,0.03793079029648781,2.2515460915956216,2.031749671567326,1.9301658911385269,0.10158378042879937,0.5352693467445159,0.3213802004570947,0.21388914628742117,0.06303151031183782,0.041719664366897315,0.05858759381147636,1.2847875520971757,0.11424838773936252,0.006471182022632941
2029,0.613021048619594,0.2955338626370891,0.0068849112180769285,0.0375008938429844,2.209005720163306,2.007656511526669,1.9069999579933419,0.10065655353332686,0.5064387286912186,0.30200576216996433,0.20443296652125434,0.06309099650877979,0.041770058304776994,0.05879610017739956,1.2843683174242653,0.11726930787700275,0.006398866969114307,0.6193001438327278,0.29938893318150883,0.006955432472069147,0.03788500927194827,2.2264582315937287,2.0191085717690482,1.9155016028439684,0.10360696892507987,0.5176273119159636,0.31095662874976016,0.20667068316620338,0.06359702805726661,0.042198744684652276,0.05923063970788285,1.2808163463290838,0.11413053298214043,0.006473192906314357
2030,0.6124473008269473,0.2960764230379729,0.0068784673893979055,0.03746579517976632,2.1833103343135845,1.9967621369595179,1.8943007735678288,0.10246136339168915,0.4857388249891328,0.28900956074575557,0.19672926424337722,0.06359724199054162,0.04219892591896754,0.059410327495710284,1.2808148618377524,0.11714451293662063,0.006401567908062773,0.6186273698162918,0.29975556792100666,0.006947876468268917,0.03784385312667705,2.2051910037481925,2.0093512481689837,1.9042585183669907,0.10509272980199294,0.5006424807834409,0.300932485381202,0.19970999540223888,0.06402101093809516,0.04255792325139378,0.05973997694111944,1.27786008999494,0.11400271324976433,0.006473451577082383
2031,0.6120727707329783,0.2964777181706013,0.006874260998032909,0.037442884388823774,2.161853834742841,1.9891716348657815,1.8854273013475962,0.10374433351818545,0.4657483192966927,0.27642653339524464,0.18932178590144805,0.06395789179355515,0.04250445164936702,0.059887728040741585,1.2782990697093946,0.11703231433994869,0.006403792616718887,0.618132094756418,0.3000016275798184,0.0069423139760454635,0.03781355607174279,2.1876576732851802,2.0024562577299037,1.8963278827083516,0.10612837502155181,0.48437739077367276,0.2913297905768286,0.1930476001968441,0.06431946380888183,0.04281075863512332,0.06013005534469818,1.2757898172275755,0.11388731881966484,0.006473364350221649
2032,0.6120217058725987,0.2968202974571541,0.00687368748260327,0.03743976189403385,2.144727028854309,1.9850050917935775,1.8804225457169368,0.10458254607664075,0.4465537375752886,0.26430448313737254,0.18224925443791606,0.06418561190229469,0.04269736552861478,0.060239305982508706,1.276717226668337,0.11695892040750712,0.006407114494525853,0.6179365083931806,0.3002063336918382,0.006940117322685211,0.03780159273524975,2.173998922674907,1.9985749990583188,1.8917911368163767,0.10678386224194221,0.46893286597673556,0.28220778585853007,0.1867250801182055,0.06450365656556782,0.042966798167241596,0.06041071388624617,1.2745165176659399,0.11380829781193938,0.00647444646758677
2033,0.61230831917143,0.297148185104349,0.006876906470141817,0.037457296899262006,2.1313682678673316,1.9838824921939937,1.8788160428068679,0.1050664493871259,0.42803329448639593,0.2525522250604638,0.17548106942593208,0.06430272289488795,0.04279657651182035,0.060486105214223096,1.2759057218994965,0.11693110831646132,0.006412093064074776,0.6180606797921424,0.3004128846790683,0.006941511906214768,0.03780919052784629,2.1637373973850083,1.9973947610546048,1.8902535041128574,0.10714125694174735,0.45419787975100473,0.27348389327215084,0.1807139864788539,0.06459356611067156,0.043042965349943965,0.06060095314492439,1.2738961958339527,0.11377323569834705,0.006477272191435707
2034,0.612886469107195,0.2974810249690955,0.006883399739805954,0.03749266658193866,2.1208981934221582,1.9851884043698762,1.8799024616262883,0.1052859427435879,0.40994209406251353,0.24099573179586997,0.16894636226664356,0.06433510180209245,0.04282400641526278,0.060653334752745355,1.2756815958566319,0.11694554104376813,0.006418694244253736,0.6184576575435031,0.3006377258776034,0.00694597040984988,0.03783347710830738,2.156036680878354,1.9983329792610451,1.8910496764397897,0.10728330282125538,0.4399311848658814,0.2649870044385642,0.1749441804273172,0.06461315774601328,0.04305956247171551,0.06072427729000489,1.273761130317069,0.1137775834422217,0.006481764749390733
2035,0.6136585836552959,0.29779490846584666,0.006892071448755966,0.037539902069020165,2.112550049396673,1.9883501141950155,1.8830716427487098,0.10527847144630578,0.3920569271041024,0.22947840664796332,0.16257852045613908,0.06429741679766857,0.04279208143317348,0.06075545115530219,1.2759424614754895,0.11698499954350192,0.006426143578556825,0.619029848295743,0.30085447430313766,0.006952396751225673,0.03786848248779376,2.1501653187318746,2.000845548631097,1.8936039927076662,0.10724155592343061,0.42591057632440876,0.25656132602420834,0.1693492503002004,0.06457544845318428,0.04302761691361965,0.0607936658353911,1.2740211326372552,0.11380459663529155,0.006487121818657465
2036,0.6145684976694312,0.29807929735602046,0.00690229079965348,0.03759556746802433,2.105881518782167,1.993005856375523,1.8879331683838585,0.10507268799166469,0.37429678669659616,0.21794835039830862,0.15634843629828754,0.06420031057219117,0.04270981755775358,0.06080242568963123,1.276615301962949,0.11704041447266292,0.006434026205191346,0.6197211439131619,0.30105046451471273,0.006960160773296518,0.03791077411213222,2.145710462520582,2.0045946148768254,1.8975549330603703,0.10703968181645523,0.4120557605239752,0.2481555294602118,0.1639002310637634,0.06448959647298745,0.04295488711108905,0.06081777389193048,1.2746135951381277,0.11384521675504297,0.006492906264703851
2037,0.6155869181089871,0.2983397325127346,0.006913728798927414,0.03765787075663384,2.1005553769853362,1.9988498202850395,1.8941411794424898,0.10470864084254974,0.35665786244638825,0.20641419754284648,0.15024366490354177,0.06405633509703926,0.04258784823505373,0.060805698653949386,1.2776146121442629,0.11710880328543291,0.0064422386550889955,0.6205022456447578,0.3012294270998938,0.0069689334183572925,0.0379585597553371,2.142357425581682,2.0092936787561437,1.9025800784995381,0.1067136002566058,0.39836179937050986,0.23977734708214374,0.15858445228836612,0.06436684339502487,0.04285089641571109,0.06080689166701317,1.275461969526466,0.11389630712935779,0.006498995926520091
2038,0.6167210843197507,0.2985926407867343,0.006926466752518458,0.037727254856336795,2.096464124515759,2.0057695320959903,1.9015527109379378,0.10421682115805264,0.3391797578055255,0.1949114135778214,0.1442683442277041,0.06387381233093581,0.04243322344124456,0.06077259247274469,1.2788844300989397,0.11719390358871233,0.006450987761151221,0.6213801224270055,0.3014060333445193,0.0069787929553500215,0.03801226543747935,2.1400193298412686,2.014846046547759,1.9085559205458613,0.10629012600189779,0.3848697524525079,0.23146340929540726,0.1534063431571006,0.06421432599358304,0.042721690770554,0.060767306676708134,1.2765181204454703,0.11396120747609013,0.006505578750348065
2039,0.6181057957454296,0.2989143485056149,0.006942018608771883,0.03781196582257651,2.093872371237043,2.014087618989163,1.9104426292156393,0.10364498977352353,0.3218582120207313,0.18342974202140383,0.13842846999932745,0.06365995838192363,0.042252056327260853,0.060710277933700825,1.2803764444699053,0.11732131861055062,0.006461795147336454,0.622489911136203,0.30165547601873205,0.0069912571223649305,0.03808015819992047,2.138984214591579,2.021588302618089,1.915774075234189,0.10581422738390041,0.37158370869071394,0.2232101393573899,0.14837356933332405,0.06403820469002248,0.04257248899792133,0.0607052610812068,1.2777405850820056,0.11406448907380541,0.006514167494064239
2040,0.6198441181683199,0.29935946186650797,0.006961541911563757,0.03791830868378202,2.0929095397256914,2.0240927819314636,1.9210718971841318,0.10302088474733183,0.3045338119023508,0.1718376425415595,0.1326961693607913,0.06341826216047539,0.0420473025356998,0.060623413203164445,1.2820682226081543,0.11751016677607636,0.00647578371849086,0.6239339855570245,0.302030875023252,0.00700747569137172,0.0381685006369611,2.139400401246742,2.0298177912148754,1.9245067372160993,0.10531105399877615,0.3583538387637046,0.21489366403064247,0.1434601747330621,0.06384101030155531,0.04240543508838446,0.06062452732157542,1.2791129731906121,0.11422431475540319,0.006525867323532075
2041,0.6219546190204416,0.29992968587123076,0.00698524519389844,0.03804741937314622,2.0936167338157166,2.035931168297198,1.933601033146032,0.10233013515116607,0.2870547442181295,0.16001570066968462,0.12703904354844486,0.06314503087357663,0.04181583370416243,0.060509361762904945,1.283987819528917,0.11776256527176583,0.006493065028260735,0.6257286680318926,0.3025317327816676,0.0070276319805104535,0.0382782912353446,2.1413198719984345,2.039682965248233,1.9349193992175722,0.10476356603066064,0.3450357093571018,0.20640047278086243,0.13863523657623938,0.0636181683030978,0.04221665371716645,0.060521670908869965,1.280668525487084,0.11444215546768016,0.006540757047963523
2042,0.6244125900648413,0.30060639975403863,0.007012850954671913,0.03819778634149001,2.0959640291384547,2.0496032142331733,1.948050919003198,0.10155229522997503,0.26934486594418405,0.14791311013525665,0.12143175580892739,0.06283709348203109,0.041554963475804854,0.06036519569139431,1.2861603163294029,0.11807304925100771,0.006513302746889762,0.627845660836419,0.303136643594248,0.007051408174723185,0.0384077989973587,2.1447126955591727,2.051181132957741,1.9470325183207566,0.10414861463698416,0.33155369982313343,0.1976801772384161,0.13387352258471732,0.06336566324606058,0.04200274318307984,0.06039305414464047,1.2824371580797074,0.11471190733975163,0.006558454553251534
2043,0.6273080125744018,0.3014327382726757,0.007045369784102052,0.038374914150721876,2.100221081377978,2.065415159953378,1.9647145715974115,0.10070058835596654,0.2513735925765725,0.13550650978056658,0.11586708279600591,0.062495420754585765,0.04126551424073514,0.06019197238283254,1.2885821466346594,0.11845893548084836,0.006537424988749855,0.6303704387659135,0.30388580316796704,0.007079764251450195,0.03856225271269468,2.149847738880212,2.064609478167128,1.96113226816477,0.10347721000235804,0.31788479374516687,0.18871547071544204,0.12916932302972484,0.06308365401717239,0.041763838087567506,0.060239061646829226,1.2844200487976094,0.11504932305568064,0.00657983541743103
2044,0.6306601237321156,0.3024318299700104,0.007083017737244858,0.038579979673133855,2.1061970977174074,2.083284605765038,1.983475100575098,0.09980950518993997,0.23302670384692423,0.12272199714230955,0.11030470670461467,0.062129621136545334,0.04095562582668976,0.059999481309309544,1.291188308982517,0.11892528698208947,0.006565772709401575,0.6333150194613527,0.3047980858800469,0.00711283518222527,0.03874238757255031,2.156513409350658,2.0798691215374587,1.9770881077156894,0.10278101382176907,0.3039058344627483,0.17942530163496878,0.12448053282777954,0.0627809344945084,0.04150738819491466,0.06006879498702377,1.2865575434939565,0.11545783218125029,0.006605158330724264
2045,0.6344658096452657,0.3036125930960268,0.007125759841606406,0.03881279248474103,2.1136920391118794,2.1030919419685588,2.004189837167524,0.09890210480103473,0.2142064512639929,0.10950220194435561,0.10470424931963729,0.06174713968243213,0.040631605337406965,0.059795280770017015,1.2939281757715182,0.11947215114849331,0.006598418867339953,0.6366657105502463,0.30587635955752646,0.007150467186408783,0.03894736600413548,2.1644747406765488,2.0968151468066263,1.994735877470214,0.1020792693364122,0.289502277841467,0.16973886320633483,0.11976341463513215,0.06246405759879301,0.041238944834621115,0.05988909023547905,1.2888050379738045,0.1159353544191697,0.006634376829631567
2046,0.6388485298905744,0.30503262061539616,0.13902566117224618,0.03908090529747282,2.1231149392462214,2.125269499466564,2.0272760613782848,0.09799343808827939,0.19489311339312276,0.09583887786793668,0.09905423552518608,0.061348366406580326,0.040293783174881526,0.059579807508540326,1.2968010624121569,0.12012224102373985,0.006636625177105814,0.640530776933926,0.3071698197061641,0.12652322155019471,0.03918381107424667,2.174101759209323,2.1158399014532514,2.01445763003024,0.10138227142301129,0.2746496775320555,0.15964412917908283,0.11500554835297266,0.06213229674418941,0.04095789247697733,0.059699527395918245,1.291169179713635,0.11650079438235512,0.0066685845963433315
2047,0.6294345365943651,0.3039509594535593,0.1246068434771226,0.0385050162089956,2.1355256981620245,2.0558530822254117,1.951331566769254,0.10452151545615794,0.3031735080319252,0.18419413139277074,0.11897937663915449,0.06339399126832333,0.04202674136530614,0.060647969365989124,1.2822384381796135,0.11941669085147846,0.006575552073295816,0.6318044262438249,0.3061633140195234,0.11298159658055382,0.038649987627605215,2.186406638157863,2.051902514452587,1.9445186210581242,0.10738389339446253,0.3752908651656352,0.24188801709973867,0.13340284806589653,0.0640346016065871,0.04256943663330311,0.060715686642695915,1.2777656277677591,0.11590130332320962,0.006611578783848385
