,Variable,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2026-2035,SS
0,GDP ($Y_t$) Baseline,0.5941687685882207,0.593343544908146,0.592661323717342,0.5920880512031246,0.5916412723465128,0.591414193646452,0.5915168942910576,0.5919653224712773,0.5927103280122238,0.5936568692947926,5.92516656847915,0.5291732579151024
1,GDP ($Y_t$) Reform,0.6004310121442061,0.5995966469346794,0.5988689036955244,0.5982138415682714,0.5976579503035442,0.597298692459761,0.5972467073651494,0.5975200796206172,0.5980727683620465,0.5988087251278794,5.983715327581679,0.5378432337479851
2,Consumption ($C_t$) Baseline,0.4169308113164328,0.41182384547887874,0.40753612549441687,0.40421788884549004,0.40154720487480605,0.39946808368197806,0.39794538258906675,0.39689242316049167,0.3961892136903461,0.39574328413497406,4.028294263266881,0.3912884930086642
3,Consumption ($C_t$) Reform,0.41940854467074146,0.4148778380611,0.41117596677844215,0.408310424362314,0.40600171505898147,0.4042207100995082,0.4029402623164914,0.402083483833651,0.40154427570403717,0.401231078587147,4.071794299472414,0.3996383938078152
4,Capital Stock ($K_t$) Baseline,1.8383758320717518,1.8151415622776619,1.7976883544149018,1.7847724280948396,1.7753574660069904,1.7692561339184258,1.766466652630632,1.7666182046243766,1.769110729836949,1.7734074765061032,17.856194840382635,1.3730526516668404
5,Capital Stock ($K_t$) Reform,1.8429186605482144,1.8225321589303358,1.8072526868355037,1.7958479172211461,1.7874102402620116,1.7818501928147643,1.779218025799835,1.7791895536211484,1.7812144237534902,1.7847822950829775,17.962216154869427,1.412685951331617
6,Labor ($L_t$) Baseline,0.29663767572473626,0.2982969011422301,0.2995177115105553,0.3003790943247029,0.3009906239935536,0.30144162808811115,0.30181892210467315,0.3021725910850701,0.30252456600700833,0.30285302644368356,3.0066327404243243,0.29439045561936666
7,Labor ($L_t$) Reform,0.3012456368295126,0.302633199959608,0.303608181110577,0.3042543050449169,0.3046790301623065,0.3049670894832826,0.3052015799370895,0.30543022777187456,0.3056727119968034,0.3059037151026175,3.043595677398588,0.296976134578023
8,Real interest rate ($r_t$) Baseline,0.06965010807270235,0.07100236537102678,0.07202842458458342,0.07278657718302764,0.07334019411995026,0.0737150657249584,0.07393023869863444,0.07401288463486279,0.07399414348859935,0.07389203773134063,0.7283520396096861,0.09248956221536395
9,Real interest rate ($r_t$) Reform,0.07060537696675503,0.07177554315346414,0.07264907634438765,0.07328789679873642,0.07375112222073552,0.0740602110028582,0.0742315734848625,0.07428995221408059,0.07426368224423202,0.0741686052701567,0.7330830397002688,0.09077272351454753
10,Wage rate Baseline,1.2402376222884752,1.2316260766050005,1.2251957515180272,1.2205006457065437,1.2171018934949753,1.2148145559110333,1.213506733729111,1.2130053938818905,1.2131190336717497,1.2137386537210166,12.202846360527822,1.1130012369550377
11,Wage rate Reform,1.234137907198355,1.2267723329572302,1.2213486332514245,1.2174218727416175,1.2145951257594159,1.2127185291859526,1.2116813969892588,1.2113286044420342,1.2114873248347284,1.2120622271753883,12.173553954535404,1.12138732573017
