Year,GDP ($Y_t$): Baseline,Labor ($L_t$): Baseline,Government Expenditures ($G_t$): Baseline,Lump sum transfers ($TR_t$): Baseline,Wealth ($B_t$): Baseline,Capital Stock ($K_t$): Baseline,Domestically-owned Capital Stock ($K^d_t$): Baseline,Foreign-owned Capital Stock ($K^f_t$): Baseline,Government Debt ($D_t$): Baseline,Domestically-owned Gov Debt ($D^d_t$): Baseline,Foreign-owned Gov Debt ($D^f_t$): Baseline,Real interest rate ($r_t$): Baseline,"Real interest rate on gov debt ($r_{gov,t}$): Baseline","Real interest rate on HH portfolio ($r_{p,t}$): Baseline",Wage rate: Baseline,Total tax revenue ($REV_t$): Baseline,Business tax revenue: Baseline,GDP ($Y_t$): Reform,Labor ($L_t$): Reform,Government Expenditures ($G_t$): Reform,Lump sum transfers ($TR_t$): Reform,Wealth ($B_t$): Reform,Capital Stock ($K_t$): Reform,Domestically-owned Capital Stock ($K^d_t$): Reform,Foreign-owned Capital Stock ($K^f_t$): Reform,Government Debt ($D_t$): Reform,Domestically-owned Gov Debt ($D^d_t$): Reform,Foreign-owned Gov Debt ($D^f_t$): Reform,Real interest rate ($r_t$): Reform,"Real interest rate on gov debt ($r_{gov,t}$): Reform","Real interest rate on HH portfolio ($r_{p,t}$): Reform",Wage rate: Reform,Total tax revenue ($REV_t$): Reform,Business tax revenue: Reform
2026,0.5941687685882207,0.29663767572473626,0.006673179052327309,0.03634760606758965,2.049813580506666,1.8383758320717518,1.7177011909259905,0.12067464114576128,0.5535206493011263,0.3321123895806758,0.22140825972045053,0.06965010807270235,0.0473266323957485,0.06448409806171632,1.2402376222884752,0.11515372852041937,0.006305739113778597,0.6004310121442061,0.3012456368295126,0.006743511043383768,0.03673068469300619,2.049813580506666,1.8429186605482144,1.7177011909259905,0.12521746962222388,0.5535206493011263,0.3321123895806758,0.22140825972045053,0.07060537696675503,0.04813589174968297,0.06541542814409976,1.234137907198355,0.11208126586466896,0.006386495772047078
2027,0.593343544908146,0.2982969011422301,0.006663910868493878,0.03629712852192066,2.0072686371801884,1.8151415622776619,1.690067810498143,0.12507375177951874,0.5287444575016949,0.31720082668204547,0.2115436308196494,0.07100236537102678,0.048472201852064176,0.06591988537004526,1.2316260766050005,0.11505799842778916,0.006316915648696405,0.5995966469346794,0.302633199959608,0.0067341401899620465,0.03667964705082277,2.0136608584736493,1.8225321589303358,1.693529577798531,0.12900258113180482,0.5324075249930358,0.3201312806751182,0.21227624431791758,0.07177554315346414,0.04912720208978494,0.06665514916919862,1.2267723329572302,0.11198499269556307,0.00639480306361962
2028,0.592661323717342,0.2995177115105553,0.006656248762371498,0.03625538024957389,1.972308648478324,1.7976883544149018,1.6693380745920603,0.12835027982284145,0.5051171893081251,0.3029705738862638,0.20214661542186127,0.07202842458458342,0.049341431470479424,0.06705203922158601,1.2251957515180272,0.11494203932924903,0.006324463946913032,0.5988689036955244,0.303608181110577,0.006725966820381311,0.03663511771856787,1.9842803090719394,1.8072526868355037,1.6754843866006839,0.13176830023481975,0.5123988750393647,0.3087959224712555,0.20360295256810917,0.07264907634438765,0.049867218759570994,0.06761665173688336,1.2213486332514245,0.11186992139892421,0.006399637222813377
2029,0.5920880512031246,0.3003790943247029,0.006649810271600196,0.03622030728444718,1.9433100653295297,1.7847724280948396,1.6540434816401408,0.13072894645469885,0.48240695038377696,0.28926658368938873,0.19314036669438825,0.07278657718302764,0.04998370307151293,0.06793459215791883,1.2205006457065437,0.11480396552061697,0.006329119911982753,0.5982138415682714,0.3042543050449169,0.006718609740883606,0.03659504236379439,1.9600667022060785,1.7958479172211461,1.6621046524747403,0.13374326474640594,0.49327628293621373,0.2979620497313381,0.19531423320487562,0.07328789679873642,0.05040839772120681,0.06835763330468725,1.2174218727416175,0.11173417908466944,0.006401724652040626
2030,0.5916412723465128,0.3009906239935536,0.006644792445917354,0.03619297541627155,1.9188616072928268,1.7753574660069904,1.6429125395240034,0.13244492648298695,0.4604248535774666,0.2759490677688235,0.1844757858086431,0.07334019411995026,0.050452701578101444,0.06862684537909387,1.2171018934949753,0.1146619336873233,0.006332120981506077,0.5976579503035442,0.3046790301623065,0.006712366460961701,0.03656103613739067,1.9397624526231412,1.7874102402620116,1.65226420950794,0.13514603075407147,0.4748613227604388,0.2874982431152012,0.18736307964523755,0.07375112222073552,0.050800820742689955,0.06893371737601402,1.2145951257594159,0.11159446966998822,0.006402300330417571
2031,0.591414193646452,0.30144162808811115,0.006642242098432622,0.036179084909177914,1.8986578193563188,1.7692561339184258,1.6356392491589822,0.13361688475944372,0.439197957776343,0.26301857019733677,0.17617938757900628,0.0737150657249584,0.0507702753573441,0.06915198637590192,1.2148145559110333,0.11453931052645834,0.006334914874571369,0.597298692459761,0.3049670894832826,0.006708331594027825,0.036539059962414265,1.9231875110103192,1.7818501928147643,1.6457708371678264,0.13607935564693788,0.4571955873327881,0.2774166738424928,0.17977891349029532,0.0740602110028582,0.05106266637556492,0.06936426472984056,1.2127185291859526,0.11147298665372814,0.006402775500092251
2032,0.5915168942910576,0.30181892210467315,0.006643395541404509,0.03618536918240464,1.882638497818895,1.766466652630632,1.6321265354620063,0.13434011716862582,0.41879006271497443,0.2505119623568889,0.16827810035808555,0.07393023869863444,0.050952559887642676,0.06952669943956648,1.213506733729111,0.11445956849589428,0.006338999837908914,0.5972467073651494,0.3052015799370895,0.006707747743339713,0.03653588165878159,1.9103560112845095,1.779218025799835,1.6425893449544178,0.1366286808454172,0.440358442681478,0.2677666663300917,0.17259177635138628,0.0742315734848625,0.05120783669602526,0.06966369561253344,1.2116813969892588,0.1113914923672521,0.006404605870967401
2033,0.5919653224712773,0.3021725910850701,0.006648431890834024,0.0362128036464541,1.8702435336725611,1.7666182046243766,1.6319075155232983,0.13471068910107822,0.39907036842717075,0.23833601814926286,0.1607343502779079,0.07401288463486279,0.05102257367891534,0.06977645583772285,1.2130053938818905,0.11443034160456116,0.006344950119270601,0.5975200796206172,0.30543022777187456,0.006710818019168934,0.03655260726841669,1.900771160983717,1.7791895536211484,1.6423072470421072,0.13688230657904116,0.4242302381676045,0.25846391394160984,0.16576632422599466,0.07428995221408059,0.05125729243878488,0.0698553899799377,1.2113286044420342,0.1113575057527393,0.006408349786808936
2034,0.5927103280122238,0.30252456600700833,0.006656799135348617,0.03625838120495028,1.860611212647623,1.769110729836949,1.6342914326202593,0.13481929721668973,0.37979389171179323,0.2263197800273638,0.15347411168442943,0.07399414348859935,0.0510066970519137,0.0699313674033022,1.2131190336717497,0.11444619757621477,0.0063526759182500545,0.5980727683620465,0.3056727119968034,0.006717025331176475,0.036586420089265374,1.8936325532443554,1.7812144237534902,1.6442914841248535,0.13692293962863672,0.408570503076966,0.24934106911950202,0.159229433957464,0.07426368224423202,0.051235037742793116,0.06996697257532025,1.2114873248347284,0.11136569358919504,0.0064139118052066015
2035,0.5936568692947926,0.30285302644368356,0.0066674298513891275,0.036316287930562435,1.853018414501704,1.7734074765061032,1.6387057981274402,0.134701678378663,0.3607420668008768,0.21431261637426374,0.14642945042661304,0.07389203773134063,0.05092019780582015,0.07000902576057969,1.2137386537210166,0.1144903211881204,0.00636140251532504,0.5988087251278794,0.3059037151026175,0.00672529094783762,0.03663144454946599,1.8882507793076535,1.7847822950829775,1.648002743466365,0.13677955161661248,0.3931613411346576,0.2402480358412884,0.15291330529336922,0.0741686052701567,0.05115449295473054,0.07001409099948175,1.2120622271753883,0.11139904887638104,0.006420478061309369
2036,0.5947489702122499,0.30314866923738165,0.0066796953647427154,0.036383099394429616,1.8470419474012576,1.7791623190021923,1.6447762187445676,0.13438610025762474,0.34183459638452646,0.20226572865668996,0.1395688677278365,0.07371980777502932,0.05077429260149453,0.07002174367847411,1.2147857015519246,0.11455325640850808,0.006370702543811798,0.5996724441149748,0.3061116464410956,0.006734991476974278,0.03668428493828145,1.884233527318123,1.7895720810215945,1.6530969586540434,0.13647512236755116,0.3779231463937636,0.23113656866407967,0.14678657772968395,0.07401606542615875,0.051025268297284265,0.07000738932565492,1.2129860892196138,0.11144838616137419,0.006427603447052639
2037,0.5959583735384202,0.30341906116043027,0.006693278315191609,0.0364570869547769,1.8423645416034369,1.786087347001638,1.6521745054260193,0.13391284157561886,0.3230678106475588,0.19019003617741753,0.13287777447014126,0.0734924924803543,0.05058172166188432,0.06998315538676338,1.2161712705587255,0.11463200118146155,0.006380469362660629,0.600636020306584,0.3063021132436346,0.0067458135140740175,0.03674323422836011,1.8812872092685438,1.7953163266217658,1.659270815330273,0.13604551129149278,0.3628507578486253,0.22201639393827072,0.1408343639103546,0.07381942671801699,0.0508586851342607,0.06995904556834118,1.214179770163586,0.11151062247563738,0.006435166392643273
2038,0.5972923330792463,0.30368249251443524,0.006708260171080206,0.03653869430835941,1.838879309060668,1.7940713515088749,1.660757057319197,0.13331429418967783,0.30447932830503827,0.17812225174147103,0.12635707656356723,0.07322023709176118,0.0503510795659784,0.0699021462927829,1.2178362393745403,0.11473028033219891,0.006390908782371885,0.6017067574012814,0.3064915192436634,0.006757839087831221,0.03680873898730427,1.8793263742619875,1.8019206890540858,1.6664015193847506,0.1355191696693353,0.3479825822247456,0.21292485487723686,0.13505772734750873,0.0735873317343771,0.05066206506458063,0.0698766477735279,1.2155926625425901,0.11158915347140134,0.006443357129502515
2039,0.5988830534529505,0.30401859864866193,0.006726125737964737,0.0366360087808396,1.836806389506131,1.8033988926520144,1.6707528193229026,0.1326460733291117,0.28606137676204224,0.16605357018322844,0.1200078065788138,0.07291179759924701,0.0500897839810453,0.06978731383769754,1.2197297406451235,0.11487330823491111,0.006403543843068991,0.6030174666006867,0.30675826521752836,0.006772559816411328,0.03688892395126083,1.8785948250467506,1.8096846241578375,1.6747359188647704,0.13494870529306707,0.333318046760482,0.2038589061819802,0.1294591405785018,0.0733272026488988,0.05044169580838026,0.06976763475736027,1.2171813563426175,0.1117082401164336,0.006453692586154232
2040,0.600832714063175,0.30448486864508156,0.006748022604698765,0.03675528121677342,1.836245627149853,1.814329982335376,1.682387719680769,0.13194226265460693,0.2676563914502445,0.1538579074690841,0.11379848398116041,0.07257167120505616,0.04980164472755069,0.06964440747889228,1.2218267549123074,0.11508003395556542,0.006419513052699181,0.6046699108981125,0.30715827642591226,0.006791118611914702,0.036990014321292085,1.8792115393249127,1.8188778828645709,1.6845124761742005,0.13436540669037042,0.3187078360522796,0.19469906315071212,0.12400877290156748,0.0730423366940896,0.050200370627604414,0.06963666388019754,1.2189273957301663,0.1118859461301035,0.0064672962219862445
2041,0.603162731282103,0.3050853189774079,0.0067741913010674025,0.03689782183390797,1.8372322368847362,1.8270025634963303,1.6958106286547145,0.13119193484161562,0.24911597173831346,0.14142160823002164,0.10769436350829181,0.07219647319333837,0.049483794431732855,0.06947116488496792,1.2241510153184203,0.11535324042929396,0.006438974604710044,0.6066835416000419,0.3076932847840193,0.006813733934243349,0.03711320008339809,1.8812231527865353,1.8296421000737995,1.695886666273698,0.13375543380010144,0.30400956959183306,0.18533648651283727,0.1186730830789958,0.07272825200269666,0.049934292692878565,0.06948049664102564,1.2208601699540729,0.11212444125602553,0.0064842959565275336
2042,0.6058554233819802,0.30580458649618464,0.0068044332415146645,0.037062548934718775,1.8397567479601338,1.8414342838907072,1.7110579837449347,0.13037630014577248,0.23036826036513142,0.12869876421519916,0.10166949614993226,0.07178330815560205,0.04913378023825449,0.06926487493814494,1.2267239498174332,0.1156889353110364,0.0064616711048755306,0.6090373211826207,0.3083450124085178,0.006840169508502127,0.0372571942244804,1.8846212859613818,1.8419934635175312,1.7088964972310812,0.13309696628645,0.28915079100900826,0.17572478873030056,0.11342600227870768,0.07238100334678882,0.04964011979068933,0.06929555560746872,1.2230064180815738,0.11241907923458416,0.006504390180562321
2043,0.6090089980298476,0.30669240133058057,0.006839851407855016,0.03725547034368647,1.8440844330333126,1.8579322596440868,1.7284165504203777,0.12951570922370922,0.21138157580120268,0.11566788261293483,0.09571369318826785,0.07133374811347179,0.04875293389068251,0.06902712651691353,1.2295397215391413,0.11610621102264067,0.006488641661527852,0.611824999647482,0.30916002043163154,0.006871478251943048,0.037427731830887406,1.8896712530303266,1.8562316569675519,1.7238239476819641,0.1324077092855878,0.27410585422048717,0.16584730534836237,0.1082585488721248,0.07200114889689443,0.04931832477713399,0.06908260787002182,1.2253655759494415,0.11278733150461247,0.0065285645641887545
2044,0.6126603867862064,0.30778146017206887,0.0068808605827713155,0.03747884533651611,1.850094284211545,1.8764804033259854,1.747832637613685,0.12864776571230052,0.19205056760806852,0.10226164659786001,0.08978892101020851,0.07085849316641032,0.0483503200153563,0.06876877095645245,1.232534958438416,0.11661320904064901,0.0065204038677573375,0.6150761233379926,0.3101663389014991,0.006907992003010088,0.03762662037392926,1.8962331998069102,1.8723258394941136,1.7406040456500775,0.13172179384403607,0.2587599520567845,0.1556291541568327,0.10313079789995176,0.07159836266471323,0.048977103024747795,0.06885166363042836,1.2278802535903428,0.11323554482610074,0.006557250518892895
2045,0.6168349363161314,0.3090949961010223,0.006927745437628614,0.03773422467998419,1.8576900411261739,1.8970604352543843,1.7692604849166924,0.1277999503376919,0.17228832538857944,0.08842955620948148,0.08385876917909796,0.0703658945543667,0.047933013394138656,0.06849822347559316,1.2356598074272882,0.11721515052947383,0.006557319932614888,0.6188048334217651,0.3113804110219288,0.006949869582813474,0.03785472494747803,1.9041782471865751,1.890233591045163,1.7591716457638724,0.13106194528129073,0.24300963190510622,0.14500660142270283,0.09800303048240337,0.07117986168118413,0.04862256846630021,0.06861024974871888,1.2305074467200918,0.1137664814850938,0.006590681183238764
