Year,GDP ($Y_t$): Baseline,Labor ($L_t$): Baseline,Government Expenditures ($G_t$): Baseline,Lump sum transfers ($TR_t$): Baseline,Wealth ($B_t$): Baseline,Capital Stock ($K_t$): Baseline,Domestically-owned Capital Stock ($K^d_t$): Baseline,Foreign-owned Capital Stock ($K^f_t$): Baseline,Government Debt ($D_t$): Baseline,Domestically-owned Gov Debt ($D^d_t$): Baseline,Foreign-owned Gov Debt ($D^f_t$): Baseline,Real interest rate ($r_t$): Baseline,"Real interest rate on gov debt ($r_{gov,t}$): Baseline","Real interest rate on HH portfolio ($r_{p,t}$): Baseline",Wage rate: Baseline,Total tax revenue ($REV_t$): Baseline,Business tax revenue: Baseline,GDP ($Y_t$): Reform,Labor ($L_t$): Reform,Government Expenditures ($G_t$): Reform,Lump sum transfers ($TR_t$): Reform,Wealth ($B_t$): Reform,Capital Stock ($K_t$): Reform,Domestically-owned Capital Stock ($K^d_t$): Reform,Foreign-owned Capital Stock ($K^f_t$): Reform,Government Debt ($D_t$): Reform,Domestically-owned Gov Debt ($D^d_t$): Reform,Foreign-owned Gov Debt ($D^f_t$): Reform,Real interest rate ($r_t$): Reform,"Real interest rate on gov debt ($r_{gov,t}$): Reform","Real interest rate on HH portfolio ($r_{p,t}$): Reform",Wage rate: Reform,Total tax revenue ($REV_t$): Reform,Business tax revenue: Reform
2026,0.8251250371808467,0.41050736099599056,0.009267075963533197,0.05047614648881628,2.864296094358899,2.567485933957763,2.4030900157356547,0.16439591822210828,0.7686767977054066,0.461206078623244,0.30747071908216267,0.06897869648924058,0.04675784374614506,0.06385882440143675,1.2445723581931953,0.12044732751061199,0.008742810161398155,0.8310507336944555,0.4148534458537426,0.009333628155327154,0.050838638236481076,2.864296094358899,2.571770587756697,2.4030900157356547,0.1686805720210421,0.7686767977054066,0.461206078623244,0.30747071908216267,0.06962820384461872,0.04730807615302171,0.06449205191159427,1.2403783064884106,0.11558336646383298,0.008819240292383164
2027,0.8211652837934857,0.41151299894406246,0.00922260350931837,0.050233924436097116,2.815628030831703,2.525190838700526,2.35499388383594,0.17019695486458622,0.7677235783262725,0.46063414699576344,0.30708943133050903,0.07037951461767974,0.04794455167797254,0.06514891428531626,1.2355728860622086,0.11997022306409122,0.008729745384693406,0.8272738738796256,0.41565622516550166,0.009291209800253082,0.0506076018731145,2.8232141013775793,2.533216734286752,2.35937303167648,0.1738437026102725,0.773068449501833,0.46384106970109973,0.3092273798007332,0.07088669005445353,0.04837420710677409,0.06562284645307939,1.2323564869959658,0.11515410907583215,0.008805055776174643
2028,0.8174956297791723,0.412159550543852,0.00918138919515004,0.05000941872739585,2.7755422444833955,2.4893029605204804,2.3144102272809177,0.17489273323956256,0.7685533620041299,0.46113201720247793,0.307421344801652,0.07155977175949155,0.048944410605658385,0.06622461152732781,1.2281217403453053,0.11951176120709377,0.008714448610186979,0.8237848151570112,0.4161306776241364,0.009252023772964215,0.05039414954868425,2.790134368179141,2.5006145953307017,2.322628714874207,0.17798588045649488,0.7791760888415569,0.4675056533049341,0.31167043553662277,0.07193783003301923,0.0492646839821803,0.06655137251870165,1.2257598370621836,0.11474569286366011,0.008789047075081689
2029,0.8141303373371472,0.41251407047375854,0.009143593201458826,0.04980354599583147,2.7429333885512728,2.4590435375195048,2.280400302990849,0.17864323452865577,0.7708884759340398,0.46253308556042383,0.3083553903736159,0.07254119558640916,0.04977582720160531,0.06710775813286253,1.2220149502646445,0.11906557180283317,0.008697864367170828,0.8204987027340532,0.4163273063592992,0.009215117059343808,0.05019312281334003,2.7633316093291596,2.4726054261886388,2.2912920275758295,0.1813133986128094,0.7867326362555502,0.4720395817533301,0.3146930545022201,0.07282015900954542,0.05001215203222012,0.06731478284048675,1.2202936342648805,0.11434176917816524,0.008771370267851521
2030,0.8109734388152263,0.4126594206610274,0.009108137704299557,0.049610425560696766,2.7156570444510533,2.4326893286513904,2.250958631258699,0.1817306973926916,0.7744973553205908,0.46469841319235444,0.3097989421282364,0.07338174361337257,0.050487900375437565,0.06785313096850572,1.2168476840739628,0.11863592998913113,0.008680349011191576,0.8173739343843404,0.4163328977391225,0.009180022419912953,0.05000196863661193,2.7411502561366508,2.4479008370116766,2.2638363592161337,0.1840644777955429,0.7955231615341952,0.4773138969205171,0.3182092646136781,0.07358118820251355,0.05065686055027294,0.06795845424788602,1.2156299932753942,0.11395049974035573,0.008752701654886036
2031,0.8081365845005116,0.41269752680921523,0.00907627666112753,0.049436884817867996,2.693456196748986,2.410044702417667,2.225756193748738,0.18428850866892926,0.7795000050004132,0.4677000030002479,0.3118000020001653,0.07409971659136408,0.05109613367176823,0.06847779733847748,1.21247911037233,0.11824535984649703,0.008663609003162702,0.8145285570128905,0.41624743012464754,0.00914806565329218,0.04982790704139649,2.723449834493999,2.426397026800292,2.2400368584773425,0.18636016832294927,0.8056882933610937,0.4834129760166562,0.3222753173444375,0.07423724257501557,0.05121263928539378,0.06849768873843344,1.2116470039095961,0.11359377053113984,0.008734746143538419
2032,0.8057586434027889,0.41272919690815163,0.009049569726061428,0.04929141850218677,2.6763996639362357,2.391168731255434,2.2047482008481603,0.18642053040727366,0.7860857718134594,0.4716514630880756,0.3144343087253838,0.07470656108055881,0.051610224083716,0.06899226610220822,1.2088186616346148,0.1179195212938593,0.008649475333486312,0.8121063789671269,0.41616992930774643,0.009120861887879868,0.049679734991473774,2.7103949535905567,2.4082244259938173,2.21992997464573,0.1882944513480873,0.8174416315747108,0.49046497894482655,0.3269766526298843,0.07479811703676933,0.05168778602929286,0.06894152236036875,1.2082689093075283,0.113296271561128,0.008719333092683594
2033,0.8038314912226328,0.4127964306643067,0.009027925654142567,0.0491735292856999,2.66380697503825,2.375550777573714,2.1873212707349476,0.18822950683876624,0.7941428405055039,0.4764857043033023,0.3176571362022016,0.07522219028515606,0.052047041151224424,0.0694158107996812,1.2057311243847815,0.11766306028097015,0.008638329755649675,0.8100989227574514,0.4161398863650981,0.009098315911997121,0.049556933423480415,2.7013550195276714,2.392904565159004,2.202940816264309,0.18996374889469522,0.8306903387722708,0.49841420326336255,0.3322761355089083,0.07528285453454424,0.05209843308031627,0.06930842377523856,1.2053692244278524,0.11306220579259656,0.008706808447268968
2034,0.802255810066819,0.4129044859135357,0.009010228994476144,0.0490771412454288,2.654534853490997,2.3623367189930424,2.172520619079279,0.18981609991376355,0.803357057352863,0.48201423441171776,0.32134282294114525,0.07567230350147869,0.052428356122230416,0.06977367481687681,1.2030527567788674,0.11746600745774037,0.008629645327281058,0.808418999999951,0.4161617470514155,0.009079448502689297,0.04945416884783524,2.695316124089304,2.379692656187971,2.188236971085611,0.1914556851023601,0.8451319216728218,0.5070791530036931,0.3380527686691287,0.07571382396357508,0.05246353032557816,0.06962058317525814,1.202806470004119,0.11288354010562109,0.008696704778756822
2035,0.8008863603495031,0.4130125406222441,0.008994848544257394,0.04899336941899529,2.647595476997685,2.3507618737245446,2.159541316140337,0.19122055758420772,0.8134236014289129,0.48805416085734765,0.32536944057156525,0.07607241869961916,0.05276731509887293,0.0700813090812444,1.2006849728534106,0.11730496930495718,0.00862218458680646,0.8069179882130846,0.41619134669223434,0.009062590463453722,0.04936234764564954,2.69130853663595,2.3678336974970535,2.1750279267004924,0.19280577079656125,0.860467683225763,0.5162806099354578,0.3441870732903051,0.07610582419674095,0.05279561468152127,0.06989272780088296,1.200487831832259,0.11273635353781691,0.008687729304306743
