Year,GDP ($Y_t$): Baseline,Labor ($L_t$): Baseline,Government Expenditures ($G_t$): Baseline,Lump sum transfers ($TR_t$): Baseline,Wealth ($B_t$): Baseline,Capital Stock ($K_t$): Baseline,Domestically-owned Capital Stock ($K^d_t$): Baseline,Foreign-owned Capital Stock ($K^f_t$): Baseline,Government Debt ($D_t$): Baseline,Domestically-owned Gov Debt ($D^d_t$): Baseline,Foreign-owned Gov Debt ($D^f_t$): Baseline,Real interest rate ($r_t$): Baseline,"Real interest rate on gov debt ($r_{gov,t}$): Baseline","Real interest rate on HH portfolio ($r_{p,t}$): Baseline",Wage rate: Baseline,Total tax revenue ($REV_t$): Baseline,Business tax revenue: Baseline,GDP ($Y_t$): Reform,Labor ($L_t$): Reform,Government Expenditures ($G_t$): Reform,Lump sum transfers ($TR_t$): Reform,Wealth ($B_t$): Reform,Capital Stock ($K_t$): Reform,Domestically-owned Capital Stock ($K^d_t$): Reform,Foreign-owned Capital Stock ($K^f_t$): Reform,Government Debt ($D_t$): Reform,Domestically-owned Gov Debt ($D^d_t$): Reform,Foreign-owned Gov Debt ($D^f_t$): Reform,Real interest rate ($r_t$): Reform,"Real interest rate on gov debt ($r_{gov,t}$): Reform","Real interest rate on HH portfolio ($r_{p,t}$): Reform",Wage rate: Reform,Total tax revenue ($REV_t$): Reform,Business tax revenue: Reform
2026,0.8977272849608116,0.40673580019910044,0.010082480314368245,0.05491753790589007,3.6699964110544308,3.252374851550855,3.168209091420448,0.08416576013040676,0.8363121993899711,0.5017873196339826,0.3345248797559885,0.052324317862597725,0.03264902917939133,0.04829987177690982,1.3666379508181268,0.17495954354558985,0.009069676378382548,0.9046467617701267,0.4114494647793768,0.010160193769093745,0.055340828182736126,3.6699964110544308,3.2570218894048804,3.168209091420448,0.08881279798443212,0.8363121993899711,0.5017873196339826,0.3345248797559885,0.05295985039453721,0.033187422766164335,0.04892012570502585,1.3613944493558923,0.16457022093153895,0.00915926768495519
2027,0.8962327157789306,0.4078992854369491,0.010065694632784072,0.0548261104701562,3.606419791892942,3.223170611054205,3.134485446866685,0.08868516418752015,0.793760357732538,0.47193434502625703,0.3218260127062809,0.05307243790255796,0.03328280166373884,0.04916192890510837,1.3604710369085744,0.1747309337050497,0.009077507606599701,0.9030213678382307,0.4123307287738918,0.010141938779414836,0.0552413976238582,3.6182086447924737,3.230419689231037,3.137685749560134,0.09273393967090332,0.8044960454901416,0.48052289523234,0.32397315025780166,0.05361500974218909,0.033742443277881805,0.049652740969819954,1.3560439650644565,0.1643543905696739,0.009162812238215022
2028,0.8950713648339208,0.4087390454713481,0.010052651364257767,0.05475506122680861,3.5524071329432023,3.20149083688722,3.109476930913728,0.09201390597349231,0.7524401979767742,0.4429302020294746,0.3095099959472996,0.0536306854860097,0.033755723038581306,0.049848440120748155,1.3559166343944893,0.17450229154122815,0.009082616118825403,0.9016707120441458,0.4129171288809874,0.010126769405949771,0.05515876937377795,3.5748294964800453,3.210320348354697,3.1147108025238044,0.09560954583089239,0.7739258128852323,0.4601186939562411,0.3138071189289912,0.05410319632486654,0.03415601223313268,0.05022852100743108,1.3520928303445694,0.16413855084490514,0.009163823762955662
2029,0.8941483820501699,0.40929421769410945,0.010042285236477575,0.05469859730867372,3.506003157106844,3.1857902556684237,3.091423701812782,0.09436655385564173,0.7120648004443604,0.41457945529406204,0.29748534515029834,0.05403026923230201,0.03409423179394899,0.05038832615670852,1.3526811534326262,0.17425806216473513,0.009085201908850581,0.900481467119066,0.4132427439285592,0.010113412856865265,0.055086017661259506,3.537852115076002,3.195115680094597,3.0974600460763537,0.09765563401824345,0.7443305675763434,0.4403920689996485,0.3039384985766949,0.05445732536693316,0.03445601387829926,0.050678213993400265,1.3492455363821887,0.16390626777138909,0.009162311698012645
2030,0.8934414893455909,0.4096470656222117,0.010034346041693494,0.05465535351848043,3.465458563758352,3.1747294489967732,3.078747404964614,0.09598204403215892,0.6724129597448792,0.3867111587937378,0.28570180095114145,0.05430758668831008,0.03432916223780731,0.05081570512536954,1.3504475611017845,0.1740153283666162,0.009086253172893084,0.8994469724176354,0.4133878415939594,0.010101794325672969,0.05502273341771456,3.505762596439408,3.1836679903893206,3.0845814500279363,0.09908654036138445,0.7155004442670465,0.4211811464114717,0.2943192978555748,0.05471013741258284,0.034670184478852735,0.05103278605112127,1.3472224656004128,0.16367133457232866,0.009159282116536344
2031,0.8930912676490373,0.40989263057945835,0.010030412660787821,0.054633929217141525,3.430756630206242,3.1683738032853133,3.0714165831245035,0.0969572201608096,0.6335621267352269,0.35934004708173845,0.2742220796534885,0.05447429702086931,0.034470391473743936,0.05114080341434411,1.3491094823187977,0.17380640412407344,0.009087618089196298,0.8987141928576723,0.4134458036155418,0.010093564392583187,0.05497790670818853,3.4786738138330553,3.176137328691407,3.076150556208308,0.09998677248309934,0.6875411399139877,0.40252325762474717,0.2850178822892405,0.054871396340500075,0.034806795538455886,0.05130089894879444,1.3459361815715232,0.1634645001486186,0.009156578741517128
2032,0.893262056884582,0.41012587980520115,0.010032330814701748,0.05464437758310789,3.402188496020526,3.16703428476145,3.069672726660667,0.0973615581007834,0.5956229080986614,0.3325157693598593,0.26310713873880204,0.05453787770642274,0.03452425407183963,0.05136974889756091,1.3486000768591102,0.1736652751719109,0.009091231125866094,0.898453312472736,0.413510127153831,0.01009063441441544,0.054961948214366826,3.4569946535759177,3.172914146674562,3.0724987824810737,0.10041536419348812,0.6605980352673919,0.3844958710948439,0.276102164172548,0.054946754335359754,0.034870635324942834,0.051487196204821464,1.345336192170631,0.1633173913171138,0.009156138875901441
2033,0.8939571210372115,0.41038560503706334,0.01004013716163306,0.05468689819443031,3.3790577322701667,3.170244577123438,3.0729552136556033,0.09728936346783477,0.5584218065457643,0.30610251861456333,0.252319287931201,0.0545135034854984,0.03450360536611846,0.0515167293541677,1.3487953028880804,0.1735988218161865,0.009097586139380604,0.898671668946908,0.41361774857281786,0.010093086801559327,0.05497530664028184,3.44012118353483,3.1735963945532504,3.0731389465559564,0.10045744799729378,0.634521454501152,0.3669822369788736,0.26753921752227844,0.054949663845737615,0.0348731001267419,0.05160443600570789,1.3453130411445289,0.16323626162972946,0.00915844981172651
2034,0.8950807493972329,0.41067556692347507,0.010052756763387814,0.05475563584094251,3.36008044005081,3.177068250707429,3.0802194472690365,0.09684880343839215,0.5216247355892393,0.2798609927817737,0.24176374280746557,0.0544209710171114,0.034425216164867344,0.05160097883608051,1.3495371194076315,0.1735956379471275,0.00910628456331147,0.8992766517749388,0.41377051999442155,0.01009988143458022,0.05501231669674621,3.4268373363617544,3.1773013311766967,3.0770881961070518,0.10021313506964505,0.6089849199304002,0.34974914025470255,0.2592357796756976,0.05489832807392389,0.03482961084975365,0.051670480348853125,1.3457216744112124,0.16321030992137797,0.009163103379510476
2035,0.8964817821194883,0.4109551888392097,0.010068491926035279,0.05484134353331903,3.344104026901368,3.1866149612264993,3.090520603940576,0.09609435728592336,0.48493530193516216,0.25358342296079195,0.23135187897437018,0.0542724747538012,0.03429941704081309,0.05163444928661986,1.3507298299494228,0.17362937398975545,0.009116129576109659,0.9001196591395971,0.41392583610486045,0.010109349349058732,0.05506388781109735,3.4160431879721567,3.1831856468252453,3.0834561904414195,0.09972945638382567,0.5836897701475935,0.33258699753073717,0.2511027726168563,0.05480344673197089,0.03474923179212144,0.05169597809186521,1.346477789568203,0.16321473499874162,0.00916889219759823
