,Variable,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2026-2035,SS
0,GDP ($Y_t$) Baseline,0.8923477662503299,0.8911222378747445,0.8900082295058865,0.8893114971947728,0.888838374177947,0.8887279787645749,0.8891553690047435,0.8901282075836787,0.8915738201180871,0.8933554337385586,8.904568914213325,0.8397047024470412
1,GDP ($Y_t$) Reform,0.8990090617624816,0.897812884274408,0.8968143948930735,0.8960239817903902,0.8953863731756463,0.8950461936982923,0.8951860234331861,0.89583835341766,0.8969055325712701,0.8982594007490754,8.966282199765486,0.8535950197786714
2,Consumption ($C_t$) Baseline,0.6335056380222874,0.6290703726734008,0.6219584410536039,0.6176846214901124,0.6142466846326171,0.6115357987050649,0.6095387980899049,0.6081396832779808,0.6071912217843272,0.6065496376725117,6.159420897401811,0.6144301884571342
3,Consumption ($C_t$) Reform,0.6389775671411914,0.6341678818802916,0.6292232876664992,0.6257623898990176,0.6229566343904096,0.620776936920354,0.6192351782656369,0.6182488521245189,0.6176522874302143,0.617310132841274,6.244311148559407,0.6321498561252857
4,Capital Stock ($K_t$) Baseline,3.1781147508026577,3.1533382582534584,3.1339829784573614,3.121652264231098,3.1137024440987466,3.110180978441097,3.1114714349575165,3.117131145303386,3.1263871814936883,3.138453748001056,31.304415184040064,2.71921412587993
5,Capital Stock ($K_t$) Reform,3.18262645704713,3.161779122264649,3.146468478481372,3.1360876342348494,3.1291460940118485,3.1257873342094973,3.126492334919792,3.1310744053925488,3.1386192523268504,3.1483798886977463,31.426461001586286,2.8134002595185357
6,Labor ($L_t$) Baseline,0.4085695852824095,0.40963076074056115,0.4103549823895691,0.4108311849737545,0.41112249265402945,0.41132619447479585,0.41154069483922495,0.41180760554848334,0.41213602961184004,0.4124885069710254,4.109808037485693,0.4076339525530718
7,Labor ($L_t$) Reform,0.4131459779413931,0.41392821040507305,0.41442037531557874,0.41467258543306074,0.4147609892502174,0.4147804010855854,0.4148275182112112,0.4149419254885594,0.4151256000356681,0.41534416197453705,4.145947745140884,0.4099046327612169
8,Real interest rate ($r_t$) Baseline,0.054071152074083445,0.05473856972428801,0.0552489470431054,0.05557891898016652,0.05579021978004085,0.055895871781585206,0.05590279042608029,0.05582685873820313,0.05568619472277539,0.05549202015686418,0.5542315434271924,0.06436248684362678
9,Real interest rate ($r_t$) Reform,0.054693585797712205,0.05523860234668371,0.055629470454448895,0.055883374213803974,0.056041295439190474,0.05611423852825831,0.05610694928798944,0.05602958508777291,0.055901877622354025,0.05573445636933495,0.5573734351475489,0.062379194980336165
10,Wage rate Baseline,1.3523512522464856,1.346995433091678,1.3429372273978761,1.3403305184837482,1.3386682482816896,1.3378391284546927,1.337784881230549,1.338380568464725,1.3394859255538105,1.3410157214145517,13.415788904619806,1.2754920041309912
11,Wage rate Reform,1.347354666576168,1.3430191429629192,1.339932330981618,1.3379371218491447,1.3367000838771694,1.3361297148817957,1.3361866838079464,1.3367917124007698,1.3377920273781299,1.3391063971987596,13.390949881914421,1.2894085650447407
