YEAR,ATXPY,ASCHF,ABOOK,ACPIU,ACPIM,AWAGE,ASCHCI,ASCHCL,ASCHEI,ASCHEL,AINTS,ADIVS,ACGNS,ASOCSEC,AUCOMP,AIPD,ABENOTHER,ABENMCARE,ABENMCAID,ABENSSI,ABENSNAP,ABENWIC,ABENHOUSING,ABENTANF,ABENVET
2021,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022,1.014347,1.742914,1.047552,1.07229,1.040311,1.076282,1.022527,1.022546,1.047553,1.047566,1.049118,1.042358,0.631565,1.04749,0.152665,1.022138,1.030159,1.048769,1.047573,0.999851,1.0,1.002545,1.034942,1.0,1.0
2023,1.050108,0.653145,1.091056,1.05402,1.004761,1.050035,1.013156,1.013121,1.091037,1.091047,1.026196,1.126711,1.0525,1.085497,0.748857,1.058072,1.030193,1.050822,1.048715,1.000448,1.0,1.003807,1.034968,1.0,1.0
2024,1.046242,0.895528,1.007166,1.0255,1.01407,1.040377,1.0397,1.03963,1.007187,1.007157,1.156028,1.023049,0.932271,1.052921,1.337549,1.054081,1.030334,1.048426,1.051767,0.99776,1.0,1.002528,1.034951,1.0,1.0
2025,1.040442,0.963117,1.020457,1.02198,0.958663,1.038977,1.037682,1.037745,1.020415,1.020444,1.091746,1.02538,0.97747,1.031721,1.154874,1.047914,1.030635,1.046248,1.052213,1.002245,1.0,1.003783,1.034897,1.0,1.0
2026,1.0391632389028431,0.9870844581419982,1.0146951862185807,1.02074,1.014023,1.0359679887503732,1.0377729681509331,1.0377519683539322,1.014711,1.014716,1.0976428821187376,1.0186539162057981,0.9691427182825023,1.0319769147066908,1.035291,1.0463401734165616,1.030633,1.072236,1.0,0.999552,1.0,1.002513,1.034808,1.0,1.0
2027,1.0371270483708392,0.9988942474765733,1.01760859365145,1.01946,1.013312,1.0336437654349022,1.0342148021223236,1.0342128019776582,1.017568,1.017583,1.0663996937334506,1.0123594345346318,0.9928249276390871,1.0326898398776914,1.045541,1.0441699943032305,1.030788,1.0,1.0,1.0,1.0,1.002506,1.034863,1.0,1.0
2028,1.036703771790673,1.006448154519025,1.023829846557666,1.01942,1.013356,1.0329046338957877,1.031456828666615,1.031442830528199,1.023985,1.02393,1.0507544703636669,1.0207361523683782,1.0083619215379964,1.0340686491927282,1.043558,1.0440052232593262,1.030942,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2029,1.035798095705996,1.010115814597179,1.0279279890879975,1.01966,1.013612,1.033142860888785,1.0306474000928203,1.030666396008501,1.028085,1.028143,1.0303506162969551,1.0313852623679145,1.0182652398993255,1.0341231873941974,1.045739,1.0430483351032123,1.031131,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2030,1.0362908452837307,1.0098960768120424,1.0238331632924071,1.01977,1.013855,1.0329196009978805,1.0302733479257642,1.0303053389317811,1.02417,1.024128,1.0373458532781235,1.0323170306881826,1.0239260456013735,1.0347163514870563,1.043738,1.0435430448905456,1.03133,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2031,1.0362222911459114,1.009932708928837,1.0244020391748037,1.01991,1.014016,1.032478421699575,1.030899934795742,1.0309069325348983,1.024699,1.024734,1.039673237955741,1.0322506087809327,1.0273022088943393,1.036850858238349,1.038241,1.0434289583199126,1.03151,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2032,1.0362419758331034,1.0095957041749826,1.0276098700658374,1.01999,1.014306,1.0317342960975142,1.031942220257824,1.0319032350586632,1.028004,1.027983,1.0406926230760707,1.032119078332762,1.0292294527670014,1.036535833111052,1.031319,1.043361040044694,1.031644,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2033,1.035601965345152,1.0077612976759858,1.0276877253453727,1.02002,1.014309,1.031037278569505,1.033516213734803,1.0335462008294927,1.028128,1.02811,1.0322878134951057,1.0320237029420638,1.030362405270203,1.0375516068152604,1.028443,1.042634015611811,1.031857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2034,1.0351653276079866,1.0077174245193214,1.0292140691696543,1.02,1.014443,1.0304154854854068,1.0327963400736435,1.0327553598202568,1.029705,1.029722,1.0277674416412612,1.0318429828725852,1.0309203298296217,1.0373803394140326,1.029528,1.0420887977995654,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2035,1.0351389609113437,1.0076743635397507,1.0291700898327532,1.02,1.014443,1.0303714544547642,1.032752207441798,1.0327112289395468,1.029705,1.029722,1.027805714740887,1.03188509752767,1.030962406826637,1.037299339713938,1.029528,1.042127604213119,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
