Year,GDP ($Y_t$): Baseline,Labor ($L_t$): Baseline,Government Expenditures ($G_t$): Baseline,Lump sum transfers ($TR_t$): Baseline,Wealth ($B_t$): Baseline,Capital Stock ($K_t$): Baseline,Domestically-owned Capital Stock ($K^d_t$): Baseline,Foreign-owned Capital Stock ($K^f_t$): Baseline,Government Debt ($D_t$): Baseline,Domestically-owned Gov Debt ($D^d_t$): Baseline,Foreign-owned Gov Debt ($D^f_t$): Baseline,Real interest rate ($r_t$): Baseline,"Real interest rate on gov debt ($r_{gov,t}$): Baseline","Real interest rate on HH portfolio ($r_{p,t}$): Baseline",Wage rate: Baseline,Total tax revenue ($REV_t$): Baseline,Business tax revenue: Baseline,GDP ($Y_t$): Reform,Labor ($L_t$): Reform,Government Expenditures ($G_t$): Reform,Lump sum transfers ($TR_t$): Reform,Wealth ($B_t$): Reform,Capital Stock ($K_t$): Reform,Domestically-owned Capital Stock ($K^d_t$): Reform,Foreign-owned Capital Stock ($K^f_t$): Reform,Government Debt ($D_t$): Reform,Domestically-owned Gov Debt ($D^d_t$): Reform,Foreign-owned Gov Debt ($D^f_t$): Reform,Real interest rate ($r_t$): Reform,"Real interest rate on gov debt ($r_{gov,t}$): Reform","Real interest rate on HH portfolio ($r_{p,t}$): Reform",Wage rate: Reform,Total tax revenue ($REV_t$): Reform,Business tax revenue: Reform
2026,0.7353473214688737,0.3371110957457728,0.008258771920090393,0.04498410530898253,2.9457294681510593,2.6135805145883904,2.5347049091102787,0.07887560547811145,0.6850409317346343,0.41102455904078056,0.27401637269385376,0.05428315432227919,0.03430846427425763,0.05013490159553369,1.3506439475351082,0.14392981820743275,0.007477847748837233,0.7449728730358778,0.3437381557958036,0.008366877617460938,0.045572935969799964,2.94572946815106,2.620113902441709,2.5347049091102796,0.08540899333142936,0.6850409317346343,0.41102455904078056,0.27401637269385376,0.055374582202198895,0.03523307118490743,0.05119995220557717,1.3419431471523233,0.13621093854120916,0.007602410005921323
2027,0.7347102091390871,0.338296798390112,0.008251616436871015,0.044945135565415455,2.9008995999791525,2.592794171334246,2.5103101466395237,0.08248402469472241,0.6509824222327146,0.39058945333962874,0.2603929688930859,0.055021225708432556,0.034933724006710576,0.05098992281852255,1.3447439446892075,0.14387489718351737,0.007489222132597685,0.7444036359994501,0.34456510553042424,0.008360484449613487,0.045538117725372425,2.9123525397631282,2.6046636768178444,2.516632146237121,0.08803153058072337,0.6595339892100118,0.3957203935260071,0.26381359568400475,0.05591366568955776,0.03568975762933459,0.051827395512355184,1.3376995907468203,0.13614295809292046,0.007609563672367067
2028,0.7340488910572788,0.33911419678846033,0.008244189096014756,0.044904668469482226,2.862035872987712,2.5765401969682165,2.4913547921972965,0.08518540477091975,0.6178018013173594,0.3706810807904156,0.24712072052694378,0.05558341496849639,0.035409984586554255,0.051681759780747766,1.3402950863985121,0.14377201422293265,0.007495898690333447,0.7439220190618809,0.3450875538822485,0.008355075353361812,0.04550864854361466,2.8849932892624857,2.5938430017461864,2.5040368809945805,0.08980612075160584,0.6349273471131753,0.38095640826790517,0.25397093884527017,0.05628329907554659,0.036002893833182795,0.05229520968744013,1.3348102129499264,0.13605311574848605,0.007613446116055314
2029,0.7336605363134016,0.3396728730275566,0.008239827438386955,0.04488090832418422,2.830301817269828,2.566084877325352,2.479125793194331,0.08695908413102094,0.5852933734591623,0.3511760240754974,0.23411734938366494,0.055954104308259936,0.03572401534530196,0.05219683495341294,1.3373827110358265,0.14366227361157735,0.007500696866599882,0.7435050910963804,0.3453639103788175,0.008350392786534346,0.04548314143225867,2.8623605338826876,2.5866583862389523,2.4957512523736756,0.09090713386527675,0.6110154691816866,0.36660928150901195,0.24440618767267466,0.05651664115400151,0.03620057038355704,0.052634608425887144,1.3329946215545552,0.13593971891358775,0.007614703207344321
2030,0.7333998810433681,0.3400392020919737,0.008236899988511057,0.04486496204253572,2.8030382327871415,2.559202308191928,2.4710772151852023,0.08812509300672587,0.5532683626698991,0.3319610176019394,0.22130734506795968,0.05619905658055897,0.035931527511624595,0.05259631676520786,1.3354673021081793,0.14354457308888027,0.007503787346800657,0.7431514140038997,0.3454772046585449,0.008346420597672185,0.04546150484158491,2.8430892587064043,2.5820511665042583,2.4905080161270616,0.09154315037719642,0.5876354042989046,0.35258124257934276,0.23505416171956187,0.05665468100557947,0.036317511322177226,0.05288431404805888,1.3319236069158154,0.1358158044407928,0.007614335844100924
2031,0.7333805044661498,0.3402956028337718,0.008236682367902174,0.044863776509033323,2.780194502199876,2.5558904233273956,2.467116480260725,0.08877394306667087,0.5217967032319187,0.31307802193915124,0.2087186812927675,0.05633263300445547,0.03604468724201711,0.05289296513524125,1.334425829626092,0.14344643889937983,0.007506716237753612,0.7429943600783175,0.34550839077239537,0.008344656706633665,0.0454518970860657,2.827391270441804,2.580239753419893,2.4884611734730613,0.09177857994683154,0.5648834949479046,0.3389300969687427,0.22595339797916186,0.056706526097344605,0.036361432071327277,0.0530524093474745,1.3315219380843235,0.13570919222113853,0.007613946702583703
2032,0.7337397981492488,0.3405255877745456,0.008240717637351607,0.04488575623915586,2.7619829412712282,2.5563701107356605,2.4673975394380743,0.08897257129758616,0.490975669721923,0.2945854018331538,0.19639026788876923,0.0563644707940444,0.03607165873579633,0.05309496528912582,1.3341779109681726,0.1433965526781467,0.007511138469955348,0.7431780354293276,0.3455373532831453,0.00834671958602011,0.04546313352783626,2.8156322419198814,2.5815632060110256,2.4898999506506208,0.09166325536040483,0.5428871521154345,0.3257322912692607,0.2171548608461738,0.05667844175271297,0.03633764032145059,0.05314412465219473,1.3317394822128334,0.13564535693595645,0.007615168092653968
2033,0.7345022228797482,0.34077148387335804,0.008249280518824885,0.044932397416898,2.7479451477824264,2.5603445275330925,2.471544202095683,0.08880032543740951,0.4606682428112388,0.2764009456867433,0.18426729712449552,0.05631020607426418,0.036025688190388476,0.05321704860418744,1.33460054130092,0.14340561861122295,0.0075176727158643465,0.7437238198443716,0.3456034431644984,0.008352849354729111,0.0454965219646215,2.8073878342907874,2.585740479621039,2.4944689705352845,0.09127150908575421,0.5215314395925046,0.3129188637555027,0.20861257583700185,0.05658516764668049,0.03625862283929808,0.053173503125569684,1.3324626621165683,0.1356335464697541,0.007618561572511856
2034,0.7355985306923991,0.3410418912055812,0.008261593280311268,0.044999463644002834,2.737091302016211,2.5670789608861764,2.478730700068545,0.08834826081763153,0.43060100324610995,0.25836060194766597,0.17224040129844398,0.05619066526681865,0.035924418781110676,0.05327951426006749,1.3355328026971067,0.14346436397660134,0.007526085736276044,0.7445633520765794,0.34571394380259296,0.008362278239587927,0.045547880340575615,2.80170598478143,2.592064586595492,2.5013747130255624,0.09068987356992948,0.5005521195931124,0.30033127175586743,0.20022084783724498,0.05644640751097946,0.036141071709486994,0.05315989790108315,1.3335404183228627,0.13566603722056808,0.007623879233619657
2035,0.7369106413631631,0.3413056529577691,0.008276329748980401,0.04507973152904167,2.728540204114072,2.5758806088611874,2.488221382783617,0.08765922607757033,0.4005313688840917,0.24031882133045498,0.1602125475536367,0.05601816283784969,0.035778282750628915,0.053294501709748164,1.3368811141599348,0.14355325666473204,0.00753544001738494,0.7455864219099396,0.3458346453831192,0.008373768456748396,0.04561046660107061,2.7978297362133273,2.5999516233025872,2.510005869936435,0.08994575336615229,0.4797064437948205,0.28782386627689227,0.19188257751792823,0.05627091906946249,0.035992406068127626,0.05311220237630164,1.334906728499075,0.1357245689234336,0.007630185588212135
