,Variable,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2026-2035,SS
0,GDP ($Y_t$) Baseline,0.7353473214688737,0.7347102091390871,0.7340488910572788,0.7336605363134016,0.7333998810433681,0.7333805044661498,0.7337397981492488,0.7345022228797482,0.7355985306923991,0.7369106413631631,7.345298536572718,0.6911322148592804
1,GDP ($Y_t$) Reform,0.7474957528520138,0.7470155850704387,0.746642235098403,0.7463010102009454,0.7460196976365404,0.745926052397588,0.7461710626235807,0.7467747348674987,0.7476732472333816,0.748748213523397,7.468767591503786,0.7098105107090619
2,Consumption ($C_t$) Baseline,0.523547744336005,0.5200437510998339,0.5143393668035483,0.5109833772549178,0.5083194713552224,0.5062587086108488,0.5047882012410596,0.503830805398866,0.5032610502037076,0.502969611492316,5.098342087796325,0.5070143108324527
3,Consumption ($C_t$) Reform,0.5295278783440054,0.5256203648297796,0.5225295031327994,0.5201593722475633,0.5182754095984071,0.5168806039171623,0.5159889492581546,0.5155283127519206,0.5153848211249871,0.5154577569504888,5.195352972155268,0.5263495726103032
4,Capital Stock ($K_t$) Baseline,2.6135805145883904,2.592794171334246,2.5765401969682165,2.566084877325352,2.559202308191928,2.5558904233273956,2.5563701107356605,2.5603445275330925,2.5670789608861764,2.5758806088611874,25.723766699751646,2.2357172533493985
5,Capital Stock ($K_t$) Reform,2.6218319398882777,2.6077616490672235,2.5983700652435955,2.592300676460956,2.5887222217738968,2.5878200097932176,2.58997631556033,2.5949215327202046,2.6019871273806956,2.610532431449512,25.99422396933791,2.3407467597937464
6,Labor ($L_t$) Baseline,0.3371110957457728,0.338296798390112,0.33911419678846033,0.3396728730275566,0.3400392020919737,0.3402956028337718,0.3405255877745456,0.34077148387335804,0.3410418912055812,0.3413056529577691,3.398174384688901,0.33572870530811505
7,Labor ($L_t$) Reform,0.3454808255380926,0.34626654134860635,0.3467556641482862,0.3469984854390233,0.3470820132772169,0.34708605329196546,0.34709234714571613,0.34713847239511003,0.3472320974367863,0.34733760722822205,3.468470107249025,0.34074577260096867
8,Real interest rate ($r_t$) Baseline,0.05428315432227919,0.055021225708432556,0.05558341496849639,0.055954104308259936,0.05619905658055897,0.05633263300445547,0.0563644707940444,0.05631020607426418,0.05619066526681865,0.05601816283784969,0.5582570938654594,0.06448294742783862
9,Real interest rate ($r_t$) Reform,0.05565952192068992,0.056156794739214706,0.0564842420621173,0.05668296124558888,0.05678919323747807,0.056812797752177555,0.05675940886447244,0.05664321704980731,0.056483053354271895,0.05628885843362551,0.5647600486594436,0.062319605735838335
10,Wage rate Baseline,1.3506439475351082,1.3447439446892075,1.3402950863985121,1.3373827110358265,1.3354673021081793,1.334425829626092,1.3341779109681726,1.33460054130092,1.3355328026971067,1.3368811141599348,13.384151190519061,1.2746594095273154
11,Wage rate Reform,1.3396957636234874,1.3357972284014206,1.3332463218937165,1.3317044648102423,1.3308821315002521,1.330699592226674,1.33111255688826,1.3320124679462735,1.3332555659956804,1.3347668883007309,13.333172981586737,1.2898328836817907
