YEAR,ATXPY,ASCHF,ABOOK,ACPIU,ACPIM,AWAGE,ASCHCI,ASCHCL,ASCHEI,ASCHEL,AINTS,ADIVS,ACGNS,ASOCSEC,AUCOMP,AIPD,ABENOTHER,ABENMCARE,ABENMCAID,ABENSSI,ABENSNAP,ABENWIC,ABENHOUSING,ABENTANF,ABENVET
2021,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022,1.014347,1.742914,1.047552,1.07229,1.040311,1.076282,1.022527,1.022546,1.047553,1.047566,1.049118,1.042358,0.631565,1.04749,0.152665,1.022138,1.030159,1.048769,1.047573,0.999851,1.0,1.002545,1.034942,1.0,1.0
2023,1.050108,0.653145,1.091056,1.05402,1.004761,1.050035,1.013156,1.013121,1.091037,1.091047,1.026196,1.126711,1.0525,1.085497,0.748857,1.058072,1.030193,1.050822,1.048715,1.000448,1.0,1.003807,1.034968,1.0,1.0
2024,1.046242,0.895528,1.007166,1.0255,1.01407,1.040377,1.0397,1.03963,1.007187,1.007157,1.156028,1.023049,0.932271,1.052921,1.337549,1.054081,1.030334,1.048426,1.051767,0.99776,1.0,1.002528,1.034951,1.0,1.0
2025,1.040442,0.963117,1.020457,1.02198,0.958663,1.038977,1.037682,1.037745,1.020415,1.020444,1.091746,1.02538,0.97747,1.031721,1.154874,1.047914,1.030635,1.046248,1.052213,1.002245,1.0,1.003783,1.034897,1.0,1.0
2026,1.0681105141971088,1.0105603489365815,1.038827744788119,1.02074,1.014023,1.0606064795057015,1.0624543869180163,1.0624328876815428,1.014711,1.014716,1.1418512870256812,1.0570941153736297,1.0057145495199395,1.050864721126311,1.035291,1.0884823225712235,1.030633,1.072236,1.0,0.999552,1.0,1.002513,1.034808,1.0,1.0
2027,1.0637939786465234,1.020836847234443,1.0399622917075255,1.01946,1.013312,1.0563497025716437,1.0569332846082953,1.0569312405266726,1.017568,1.017583,1.105776457957021,1.047300818404776,1.0270920819017746,1.051549830228146,1.045541,1.0827259278022907,1.030788,1.0,1.0,1.0,1.0,1.002506,1.034863,1.0,1.0
2028,1.0662337696113129,1.0327502956957442,1.0505862185015058,1.01942,1.013356,1.0598981887140688,1.0584125372179867,1.0583981732574352,1.023985,1.02393,1.0879866297542198,1.05609217287595,1.043289326327403,1.0567227923905786,1.043558,1.0809982315912423,1.030942,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2029,1.0664677385831693,1.0383407300183518,1.0566506048109265,1.01966,1.013612,1.0620112113983664,1.0594460143470403,1.0594655410514737,1.028085,1.028143,1.0659260322470514,1.0670062779223435,1.053433128439553,1.0586470617437316,1.045739,1.079062171355102,1.031131,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2030,1.0683844429268607,1.0400235492754824,1.054376403384922,1.01977,1.013855,1.0637339213530042,1.061008720239946,1.0610416656096593,1.02417,1.024128,1.0729780722067075,1.0684790890546472,1.0597941678189216,1.0608526871036146,1.043738,1.079388133700065,1.03133,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2031,1.0701468343960194,1.0422808246175768,1.0572136031594823,1.01991,1.014016,1.0655486783616788,1.063919630127381,1.0639268520039216,1.024699,1.024734,1.0759530908844008,1.0695794455025045,1.0644520987498802,1.0644757187263472,1.038241,1.0798398687553725,1.03151,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2032,1.0726093599955828,1.0446776148684225,1.063317744928099,1.01999,1.014306,1.0675854894714434,1.0678006382980025,1.0677602984226386,1.028004,1.027983,1.078394170763117,1.0713660519318493,1.068366546546336,1.0654563504263297,1.031319,1.0811592574374351,1.031644,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2033,1.0751759721857561,1.0462436588839483,1.0669310009256723,1.02002,1.014309,1.0704084536227036,1.0729820518682458,1.0730131840497847,1.028128,1.02811,1.0719657150303228,1.0740588750812177,1.072329911392179,1.067698076342266,1.028443,1.0827095926629875,1.031857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2034,1.0790445225592704,1.050697349665207,1.073110851211027,1.02,1.014443,1.074363495244136,1.0768459003047604,1.0768031722119693,1.029705,1.029722,1.070708326708147,1.0778099622612867,1.0768462064787465,1.0686317679514752,1.029528,1.0856280397357967,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2035,0.7734525899330847,0.7836128340324424,0.8003288892636102,1.02,1.014443,0.8012631029889534,0.803114491554497,0.8030826248310342,1.029705,1.029722,0.6767228442009232,0.6902157315553792,0.6895985546635539,0.8713691461775226,1.029528,0.6861525930717235,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
