Year,GDP ($Y_t$): Baseline,Labor ($L_t$): Baseline,Government Expenditures ($G_t$): Baseline,Lump sum transfers ($TR_t$): Baseline,Wealth ($B_t$): Baseline,Capital Stock ($K_t$): Baseline,Domestically-owned Capital Stock ($K^d_t$): Baseline,Foreign-owned Capital Stock ($K^f_t$): Baseline,Government Debt ($D_t$): Baseline,Domestically-owned Gov Debt ($D^d_t$): Baseline,Foreign-owned Gov Debt ($D^f_t$): Baseline,Real interest rate ($r_t$): Baseline,"Real interest rate on gov debt ($r_{gov,t}$): Baseline","Real interest rate on HH portfolio ($r_{p,t}$): Baseline",Wage rate: Baseline,Total tax revenue ($REV_t$): Baseline,Business tax revenue: Baseline,GDP ($Y_t$): Reform,Labor ($L_t$): Reform,Government Expenditures ($G_t$): Reform,Lump sum transfers ($TR_t$): Reform,Wealth ($B_t$): Reform,Capital Stock ($K_t$): Reform,Domestically-owned Capital Stock ($K^d_t$): Reform,Foreign-owned Capital Stock ($K^f_t$): Reform,Government Debt ($D_t$): Reform,Domestically-owned Gov Debt ($D^d_t$): Reform,Foreign-owned Gov Debt ($D^f_t$): Reform,Real interest rate ($r_t$): Reform,"Real interest rate on gov debt ($r_{gov,t}$): Reform","Real interest rate on HH portfolio ($r_{p,t}$): Reform",Wage rate: Reform,Total tax revenue ($REV_t$): Reform,Business tax revenue: Reform
2026,0.736191908683516,0.33696543480509933,0.008268257578049169,0.045035772130434096,2.957175376701562,2.623313354163834,2.545678733140535,0.07763462102329897,0.6858277392683777,0.4114966435610266,0.2743310957073511,0.054018053838313713,0.034083883480601235,0.04988663673600212,1.352779753997193,0.144015838689738,0.00747994846376995,0.7589590480818765,0.33102911192159645,0.008523957988011052,0.046428524679579725,2.957175376701562,2.638801457861109,2.545678733140535,0.09312272472057395,0.6858277392683777,0.4114966435610266,0.2743310957073511,0.056581496008527646,0.03625551239831339,0.05238849787970297,1.4196247263560093,0.13905825681196865,0.007774539714030108
2027,0.7355496757828991,0.33814693156484793,0.008261044585098873,0.04499648917757999,2.9122994872594976,2.602455047621973,2.5212086186114666,0.08124642901050616,0.651818114413385,0.391090868648031,0.260727245765354,0.05475339504131016,0.03470683032893176,0.050738136097194256,1.3468770968229742,0.1439620829220689,0.007491322598574704,0.793813092819336,0.3351905715987844,0.008915407847928014,0.048560690457537165,2.89663166833107,2.6245934125713357,2.499455635430414,0.125137777140922,0.6619600548344271,0.39717603290065623,0.2647840219337709,0.06202983239910595,0.04087108945196544,0.05776813855853578,1.4663845174162404,0.14662699784689762,0.008262077060460265
2028,0.7348820873410133,0.3389612201905384,0.008253546821093954,0.044955638522037905,2.8733809980448126,2.5861236340060247,2.5021706270211412,0.08395300698488335,0.6186839517061192,0.37121037102367155,0.24747358068244768,0.055314035158977023,0.03518177854742553,0.05142751682987094,1.3424219894068372,0.14386005304939153,0.007497988554215157,0.83234428073885,0.33859101577634965,0.009348156133733633,0.05091779072231991,2.8656808931821214,2.6379117412439124,2.482496854702631,0.1554148865412811,0.6386400641324839,0.3831840384794903,0.2554560256529936,0.06683293419021649,0.04494005377871685,0.06256572958762338,1.5221202849067734,0.15461992340104208,0.00877307265560233
2029,0.7344865873395625,0.3395175739729726,0.008249104914241212,0.04493144121451871,2.8415927935432452,2.57559322694927,2.489860741590733,0.08573248535853707,0.5862200865875206,0.35173205195251234,0.2344880346350082,0.05568428593283731,0.0354954377735485,0.05194113382242414,1.339500933820012,0.1437508420543228,0.007502761967185481,0.8755760921159195,0.3415290318221389,0.009833697672312146,0.05356245098655828,2.8653074661082045,2.680264644324134,2.496080142961805,0.18418450136232886,0.6153788719106659,0.3692273231463995,0.2461515487642664,0.0709251171968475,0.04840676079361651,0.06672036314079081,1.587404745823767,0.1632454761602178,0.009319986996875218
2030,0.7342182726676082,0.3398822084445598,0.008246091440724973,0.044915026384986095,2.8142742638362956,2.5686362508539626,2.4817313454462804,0.08690490540768246,0.5542381973166924,0.3325429183900155,0.22169527892667695,0.055929554079249086,0.035703217533720355,0.052339833194992094,1.3375750818927665,0.14363345896239127,0.0075058200383544575,0.924140981953836,0.3442924166230394,0.010379135639903418,0.05653335630124369,2.8927738068185533,2.7499329470255676,2.537816295606248,0.21211665141931926,0.5915958520205084,0.354957511212305,0.23663834080820337,0.07437117739878336,0.051326102635479244,0.07029118146951506,1.6620044501219782,0.17268157218652438,0.00991307545151401
2031,0.7341909011536677,0.3401373693088401,0.008245784028045083,0.044913351779240704,2.7913776943636406,2.5652527541111345,2.4776923999371316,0.08756035417400285,0.5228088240441816,0.31368529442650905,0.20912352961767258,0.05606408081001418,0.035817182319869745,0.05263626852405059,1.3365218577206563,0.1435354514443039,0.007508709264489013,0.9793485958353148,0.3472436466304221,0.010999178819483897,0.0599106228643293,2.9497796941243455,2.8492974848958132,2.6096429477029814,0.23965453719283158,0.5668945773689399,0.34013674642136393,0.22675783094757598,0.07718273112625144,0.05370792011871179,0.07328722411623823,1.7463223402360235,0.18319149767736845,0.010567847819062979
2032,0.7345421527531202,0.3403664393569231,0.008249728975910876,0.044934839552677734,2.773119324167191,2.565666696024327,2.4779014107431356,0.08776528528119104,0.49202985570675906,0.2952179134240555,0.19681194228270354,0.056097395614701416,0.035845405072107886,0.05283853047214481,1.3362613693232657,0.14348553745068143,0.007513085536307024,1.0429744533476253,0.3508252802558993,0.011713768279556589,0.06380286470978223,3.0393923754912042,2.982269623462028,2.7149036741092267,0.26736594935280106,0.5408145023032959,0.3244887013819775,0.21632580092131837,0.0793894427104535,0.055577343484288916,0.0757341255522306,1.8407898346573517,0.1951211817712837,0.011304672197806568
2033,0.7352966244174074,0.3406116485242149,0.00825820253556575,0.044980994217929074,2.759041764321363,2.569581948296794,2.481983087508426,0.08759886078836811,0.46176446135489474,0.27705867681293694,0.18470578454195782,0.05604502319629985,0.03580103759637042,0.05296124894069297,1.3366709310905525,0.14349445193526644,0.007519568688637063,1.117383571144569,0.35555710050378453,0.012549465799243698,0.06835475745705472,3.166144994307171,3.154632282093969,2.858662405063312,0.29596987703065686,0.5124709820730982,0.30748258924385885,0.20498839282923928,0.08103421263564221,0.05697071602611027,0.07767136500182086,1.9458723511845435,0.20893834305177572,0.01215012693216753
2034,0.7363850305377726,0.34088152793208787,0.008270426552220317,0.045047577075709166,2.748153310930212,2.5762621210417604,2.4891098742080935,0.08715224683366676,0.43173906120353117,0.25904343672211877,0.1726956244814124,0.055927688596711135,0.035701637183723794,0.053024628127047085,1.3375897058554953,0.1435529420375519,0.007527926587020325,1.2057512244589383,0.3620449987085058,0.013541933266697292,0.07376054325066445,3.3368217934956594,3.374839353483367,3.0484944585285416,0.32634489495482544,0.4805455582785299,0.28832733496711793,0.192218223311412,0.08216251683562609,0.05792656283909167,0.07914166405931541,2.062132588720559,0.22523744212977626,0.013139231313988576
2035,0.7376891958357684,0.3411448780556303,0.008285073785477017,0.04512735889934322,2.7395708330826123,2.5850127759173125,2.498544348824162,0.0864684270931508,0.40171080709741713,0.24102648425845036,0.16068432283896678,0.05575763286532816,0.035557573881580665,0.0530407384488292,1.3389242551517029,0.14364149060184958,0.007537222002716632,1.312340619578613,0.37097300115224924,0.014739051251210207,0.08028101594230573,3.5619118121887707,3.6553421246578397,3.295877787634926,0.3594643370229134,0.4433900409230746,0.26603402455384473,0.17735601636922987,0.08280268589160947,0.058468884273275595,0.08017030145270862,2.190411447616754,0.244807016823953,0.014317942014194672
