,Variable,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2026-2035,SS
0,GDP ($Y_t$) Baseline,0.736191908683516,0.7355496757828991,0.7348820873410133,0.7344865873395625,0.7342182726676082,0.7341909011536677,0.7345421527531202,0.7352966244174074,0.7363850305377726,0.7376891958357684,7.353432436512336,0.6920073420739291
1,GDP ($Y_t$) Reform,0.7589590480818765,0.793813092819336,0.83234428073885,0.8755760921159195,0.924140981953836,0.9793485958353148,1.0429744533476253,1.117383571144569,1.2057512244589383,1.312340619578613,9.842631960074879,0.7034684133785748
2,Consumption ($C_t$) Baseline,0.5244392118560764,0.5209424092598077,0.5152342243208904,0.5118753140500548,0.5092090783472951,0.5071456456937683,0.5056723732966751,0.5047121724607695,0.5041398776401596,0.5038456822696877,5.1072159891951845,0.5079733439992327
3,Consumption ($C_t$) Reform,0.5703171436979955,0.5740944278425939,0.5772447678800761,0.5852206382863216,0.5953979498017484,0.607064499482647,0.619316196293024,0.6308728228849371,0.6400634450958094,0.6449565170942395,6.044548408359393,0.5222653443704561
4,Capital Stock ($K_t$) Baseline,2.623313354163834,2.602455047621973,2.5861236340060247,2.57559322694927,2.5686362508539626,2.5652527541111345,2.565666696024327,2.569581948296794,2.5762621210417604,2.5850127759173125,25.817897808986395,2.244914235050055
5,Capital Stock ($K_t$) Reform,2.638801457861109,2.6245934125713357,2.6379117412439124,2.680264644324134,2.7499329470255676,2.8492974848958132,2.982269623462028,3.154632282093969,3.374839353483367,3.6553421246578397,29.34788507161907,2.3161928012054975
6,Labor ($L_t$) Baseline,0.33696543480509933,0.33814693156484793,0.3389612201905384,0.3395175739729726,0.3398822084445598,0.3401373693088401,0.3403664393569231,0.3406116485242149,0.34088152793208787,0.3411448780556303,3.3966152321557144,0.33556721859835154
7,Labor ($L_t$) Reform,0.33102911192159645,0.3351905715987844,0.33859101577634965,0.3415290318221389,0.3442924166230394,0.3472436466304221,0.3508252802558993,0.35555710050378453,0.3620449987085058,0.37097300115224924,3.47727617499277,0.3380275016938882
8,Real interest rate ($r_t$) Baseline,0.054018053838313713,0.05475339504131016,0.055314035158977023,0.05568428593283731,0.055929554079249086,0.05606408081001418,0.056097395614701416,0.05604502319629985,0.055927688596711135,0.05575763286532816,0.5555911451337421,0.0641610331122536
9,Real interest rate ($r_t$) Reform,0.056581496008527646,0.06202983239910595,0.06683293419021649,0.0709251171968475,0.07437117739878336,0.07718273112625144,0.0793894427104535,0.08103421263564221,0.08216251683562609,0.08280268589160947,0.7333121463930637,0.062494586296727134
10,Wage rate Baseline,1.352779753997193,1.3468770968229742,1.3424219894068372,1.339500933820012,1.3375750818927665,1.3365218577206563,1.3362613693232657,1.3366709310905525,1.3375897058554953,1.3389242551517029,13.405122975081458,1.2768876004967484
11,Wage rate Reform,1.4196247263560093,1.4663845174162404,1.5221202849067734,1.587404745823767,1.6620044501219782,1.7463223402360235,1.8407898346573517,1.9458723511845435,2.062132588720559,2.190411447616754,17.44306728704,1.288587936331059
