Year,GDP ($Y_t$): Baseline,Labor ($L_t$): Baseline,Government Expenditures ($G_t$): Baseline,Lump sum transfers ($TR_t$): Baseline,Wealth ($B_t$): Baseline,Capital Stock ($K_t$): Baseline,Domestically-owned Capital Stock ($K^d_t$): Baseline,Foreign-owned Capital Stock ($K^f_t$): Baseline,Government Debt ($D_t$): Baseline,Domestically-owned Gov Debt ($D^d_t$): Baseline,Foreign-owned Gov Debt ($D^f_t$): Baseline,Real interest rate ($r_t$): Baseline,"Real interest rate on gov debt ($r_{gov,t}$): Baseline","Real interest rate on HH portfolio ($r_{p,t}$): Baseline",Wage rate: Baseline,Total tax revenue ($REV_t$): Baseline,Business tax revenue: Baseline,GDP ($Y_t$): Reform,Labor ($L_t$): Reform,Government Expenditures ($G_t$): Reform,Lump sum transfers ($TR_t$): Reform,Wealth ($B_t$): Reform,Capital Stock ($K_t$): Reform,Domestically-owned Capital Stock ($K^d_t$): Reform,Foreign-owned Capital Stock ($K^f_t$): Reform,Government Debt ($D_t$): Reform,Domestically-owned Gov Debt ($D^d_t$): Reform,Foreign-owned Gov Debt ($D^f_t$): Reform,Real interest rate ($r_t$): Reform,"Real interest rate on gov debt ($r_{gov,t}$): Reform","Real interest rate on HH portfolio ($r_{p,t}$): Reform",Wage rate: Reform,Total tax revenue ($REV_t$): Reform,Business tax revenue: Reform
2026,0.7352624833436513,0.33704970056347555,0.008257819093166457,0.04497891537261399,2.9457294681510593,2.613562665683767,2.5347523296311554,0.0788103360526116,0.684961897533173,0.4109771385199038,0.27398475901326924,0.05427193963027021,0.034298963709059424,0.050124399619902775,1.3507341204801986,0.14390986414523188,0.0074767115755773935,0.7310904648586508,0.3341882809367257,0.00821096266477124,0.044723738587472014,2.9457294681510593,2.6107416916633843,2.5347523296311554,0.07598936203222889,0.684961897533173,0.4109771385199038,0.27398475901326924,0.053796758673073,0.03389641251450312,0.04966077410086853,1.3545694139715927,0.13328018920683077,0.007422711952093766
2027,0.7345938344406081,0.3382260270066724,0.008250309418998035,0.044938016334934966,2.900717195159058,2.5925976759601217,2.5101693418280373,0.08242833413208453,0.6509130888850344,0.39054785333102066,0.26036523555401375,0.05501262875522033,0.03492644106800541,0.05098168856794219,1.3448122778773457,0.14384969169159306,0.007487829415548942,0.7263212042128699,0.33721623465178646,0.008157398539695911,0.04443199693544207,2.830971902575949,2.5288938527269162,2.440493448388468,0.08840040433844819,0.6507974236458015,0.3904784541874809,0.2603189694583206,0.05643240256915509,0.036129207374488506,0.05227688486698001,1.333649277402725,0.13298985487861892,0.007436766798826051
2028,0.7338943043115224,0.3390312151108543,0.008242452914161912,0.0448952116912507,2.861649205780294,2.5761404823150635,2.49100156341361,0.08513891890145359,0.6177460706111404,0.37064764236668424,0.24709842824445616,0.05557761193746516,0.03540506852870663,0.051675923961361475,1.3403408113751587,0.14374025987563185,0.007494182361833606,0.721954986998009,0.33966775696124524,0.008108361042613473,0.04416490694870945,2.732441054749431,2.460023472359496,2.361285391845286,0.09873808051421,0.6185927715069078,0.3711556629041447,0.24743710860276313,0.05873328601279704,0.03807840875712824,0.05458306137105026,1.3160647549737199,0.1326514305431488,0.007443792068999618
2029,0.733459345681345,0.3395742386119697,0.008237567842827002,0.04486860061192305,2.8296803735472684,2.565448577075719,2.4785268376252145,0.08692173945050462,0.5852558932034234,0.35115353592205406,0.23410235728136936,0.05595134616821521,0.035721678777405154,0.052193592310799675,1.3374043195132646,0.14362237711385542,0.0074985750010523045,0.7181699204105939,0.34166385221695916,0.008065850516314997,0.043933303009279404,2.648877612585221,2.4032936647977112,2.296065738065565,0.10722792673214619,0.5880197908660928,0.3528118745196557,0.23520791634643712,0.060698940369863244,0.03974361965739039,0.05657962753438055,1.3015156158363241,0.13228111493572053,0.00744701580221869
2030,0.7331417214339646,0.33992076404750676,0.008234000567692084,0.04484916926968545,2.802141730061068,2.558286075618616,2.470188916710289,0.08809715890832726,0.5532546889179648,0.33195281335077886,0.22130187556718592,0.05619968931205396,0.0359320635323032,0.05259594469634522,1.335462363794984,0.14349459223252145,0.007501160812270426,0.7148550176397331,0.34326355639822836,0.00802862045492424,0.043730519489718164,2.5773904445728357,2.3563084454169165,2.2421076135582685,0.11420083185864804,0.5588047183576123,0.33528283101456735,0.2235218873430449,0.062370447560350324,0.041159642766163164,0.05830449616720479,1.2894708326811877,0.13190554119713996,0.007447238621326865
2031,0.7330524782159519,0.34015230309488276,0.008232998266654924,0.04484370965633981,2.7789704714021894,2.55463844702666,2.465882366843382,0.08875608018327774,0.5218135075980127,0.31308810455880765,0.20872540303920506,0.056337119636391084,0.03604848810780909,0.05289584366946867,1.3343908851053192,0.14338397971324213,0.00750346348655271,0.7120586787871981,0.34458804137950483,0.007997214445654712,0.04355945825697481,2.5162290226282114,2.317623332484647,2.1976733062498544,0.119950026234793,0.5309261939639282,0.3185557163783569,0.21237047758557126,0.06378692929369885,0.04235962017516944,0.05979320248827849,1.2794899253252545,0.13155901329225447,0.00744651086266704
2032,0.7333258460945381,0.34035122937213497,0.008236068493326875,0.04486043288709232,2.7603638984481416,2.5547111817266654,2.465745278184212,0.08896590354245318,0.4910310337732156,0.2946186202639294,0.19641241350928623,0.05637341159204862,0.036079232963808584,0.05310159556176704,1.3341083111034462,0.14331865349620904,0.007507109815381094,0.7098790903343167,0.3457411187120145,0.007972735232381652,0.04342612574914656,2.4645654453009023,2.2865866635937806,2.1619250310265548,0.12466163256722598,0.504400690457246,0.3026404142743476,0.2017602761828984,0.06496826889637827,0.04336039611333041,0.06106318728781454,1.2713193888794447,0.13126572818407564,0.007446795514211257
2033,0.7339824247636466,0.3405584747443259,0.008243442605283837,0.04490059894490764,2.7458454160414236,2.558188739908114,2.469382213942023,0.08880652596609057,0.4607720034990005,0.27646320209940034,0.18430880139960018,0.05632436640913583,0.03603768416714545,0.0532280790116946,1.3344902225022577,0.14330862160948982,0.007512684001449075,0.7083017238796029,0.3467824420878596,0.007955019644925834,0.04332963325601129,2.4210801816641974,2.262179996198907,2.1336658400614255,0.12851415613748143,0.47902390267128614,0.2874143416027717,0.19160956106851446,0.06594219800654313,0.04418546353400843,0.06214021815609662,1.2646855130240056,0.131035608754741,0.00744887673922775
2034,0.734948265248189,0.34078093193361303,0.008254290072922792,0.04495968385687605,2.734403278841016,2.5643138332677586,2.4759441923411205,0.08836964092663831,0.4307651441664924,0.25845908649989546,0.17230605766659693,0.05621101225544105,0.0359416558030315,0.053295775239987006,1.3353740021947438,0.14334376049528363,0.007519910655610798,0.7072279774154834,0.3477368677085449,0.007942960272588076,0.04326394895417293,2.384143173005655,2.2431390754676217,2.111463778136282,0.1316752973313396,0.4544656581156216,0.272679394869373,0.18178626324624864,0.06674240318070616,0.04486336012028887,0.06305643741567177,1.259302491701685,0.13086077247344458,0.007452632654975779
2035,0.7360994863418079,0.34098531356628475,0.00826721957190132,0.04503010934162911,2.725129556269836,2.5723660938053836,2.484667267673707,0.08769882613167657,0.400770480993548,0.24046228859612884,0.16030819239741917,0.056045897588574395,0.03580177834081587,0.05331703673858845,1.3366640930260936,0.14340348253091867,0.007527799970386143,0.7065137279040286,0.3485835509950981,0.007934938452644055,0.043220256314214736,2.352383495430931,2.2283663921242787,2.0941222237725494,0.13424416835172934,0.4304354527639691,0.2582612716583815,0.17217418110558763,0.0673922313849786,0.04541386433541818,0.063834135327724,1.2549750784512606,0.1307220652962818,0.00745716179219024
