,Variable,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2026-2035,SS
0,GDP ($Y_t$) Baseline,0.7352624833436513,0.7345938344406081,0.7338943043115224,0.733459345681345,0.7331417214339646,0.7330524782159519,0.7333258460945381,0.7339824247636466,0.734948265248189,0.7360994863418079,7.341760189875225,0.6911322115844246
1,GDP ($Y_t$) Reform,0.7310904648586508,0.7263212042128699,0.721954986998009,0.7181699204105939,0.7148550176397331,0.7120586787871981,0.7098790903343167,0.7083017238796029,0.7072279774154834,0.7065137279040286,7.156372792440487,0.6446328245358853
2,Consumption ($C_t$) Baseline,0.5236681767473037,0.5201716038073885,0.5144795367235347,0.5111410084052418,0.5085007590505999,0.5064710790560993,0.5050406899256147,0.5041344742598288,0.5036295106607986,0.5034197521083259,5.1006565907447365,0.5070143095435233
3,Consumption ($C_t$) Reform,0.5462705444074059,0.534463620056419,0.5225244979532784,0.5126863165891167,0.5048670039309708,0.4983673228806763,0.4930466789185922,0.48872508177276763,0.48520390293362436,0.48231986599621973,5.068474835439071,0.460343530329554
4,Capital Stock ($K_t$) Baseline,2.613562665683767,2.5925976759601217,2.5761404823150635,2.565448577075719,2.558286075618616,2.55463844702666,2.5547111817266654,2.558188739908114,2.5643138332677586,2.5723660938053836,25.710253772387865,2.2357172269516443
5,Capital Stock ($K_t$) Reform,2.6107416916633843,2.5288938527269162,2.460023472359496,2.4032936647977112,2.3563084454169165,2.317623332484647,2.2865866635937806,2.262179996198907,2.2431390754676217,2.2283663921242787,23.69715658683366,1.7496811074093945
6,Labor ($L_t$) Baseline,0.33704970056347555,0.3382260270066724,0.3390312151108543,0.3395742386119697,0.33992076404750676,0.34015230309488276,0.34035122937213497,0.3405584747443259,0.34078093193361303,0.34098531356628475,3.3966301980517204,0.33572870519514053
7,Labor ($L_t$) Reform,0.3341882809367257,0.33721623465178646,0.33966775696124524,0.34166385221695916,0.34326355639822836,0.34458804137950483,0.3457411187120145,0.3467824420878596,0.3477368677085449,0.3485835509950981,3.429431702047967,0.3488270425273969
8,Real interest rate ($r_t$) Baseline,0.05427193963027021,0.05501262875522033,0.05557761193746516,0.05595134616821521,0.05619968931205396,0.056337119636391084,0.05637341159204862,0.05632436640913583,0.05621101225544105,0.056045897588574395,0.5583050232848158,0.0644829481647961
9,Real interest rate ($r_t$) Reform,0.053796758673073,0.05643240256915509,0.05873328601279704,0.060698940369863244,0.062370447560350324,0.06378692929369885,0.06496826889637827,0.06594219800654313,0.06674240318070616,0.0673922313849786,0.6208638659475437,0.08625774199576858
10,Wage rate Baseline,1.3507341204801986,1.3448122778773457,1.3403408113751587,1.3374043195132646,1.335462363794984,1.3343908851053192,1.3341083111034462,1.3344902225022577,1.3353740021947438,1.3366640930260936,13.383781406972814,1.2746594044380077
11,Wage rate Reform,1.3545694139715927,1.333649277402725,1.3160647549737199,1.3015156158363241,1.2894708326811877,1.2794899253252545,1.2713193888794447,1.2646855130240056,1.259302491701685,1.2549750784512606,12.925042292247198,1.1442574286813123
