Year,GDP ($Y_t$): Baseline,Labor ($L_t$): Baseline,Government Expenditures ($G_t$): Baseline,Lump sum transfers ($TR_t$): Baseline,Wealth ($B_t$): Baseline,Capital Stock ($K_t$): Baseline,Domestically-owned Capital Stock ($K^d_t$): Baseline,Foreign-owned Capital Stock ($K^f_t$): Baseline,Government Debt ($D_t$): Baseline,Domestically-owned Gov Debt ($D^d_t$): Baseline,Foreign-owned Gov Debt ($D^f_t$): Baseline,Real interest rate ($r_t$): Baseline,"Real interest rate on gov debt ($r_{gov,t}$): Baseline","Real interest rate on HH portfolio ($r_{p,t}$): Baseline",Wage rate: Baseline,Total tax revenue ($REV_t$): Baseline,Business tax revenue: Baseline,GDP ($Y_t$): Reform,Labor ($L_t$): Reform,Government Expenditures ($G_t$): Reform,Lump sum transfers ($TR_t$): Reform,Wealth ($B_t$): Reform,Capital Stock ($K_t$): Reform,Domestically-owned Capital Stock ($K^d_t$): Reform,Foreign-owned Capital Stock ($K^f_t$): Reform,Government Debt ($D_t$): Reform,Domestically-owned Gov Debt ($D^d_t$): Reform,Foreign-owned Gov Debt ($D^f_t$): Reform,Real interest rate ($r_t$): Reform,"Real interest rate on gov debt ($r_{gov,t}$): Reform","Real interest rate on HH portfolio ($r_{p,t}$): Reform",Wage rate: Reform,Total tax revenue ($REV_t$): Reform,Business tax revenue: Reform
2026,0.7353473214688737,0.3371110957457728,0.008258771920090393,0.04498410530898253,2.9457294681510593,2.6135805145883904,2.5347049091102787,0.07887560547811145,0.6850409317346343,0.41102455904078056,0.27401637269385376,0.05428315432227919,0.03430846427425763,0.05013490159553369,1.3506439475351082,0.14392981820743275,0.007477847748837233,0.7423775663016842,0.34194791941454056,0.007920842952291994,0.0454141716489692,2.9457294681510593,2.618348970701297,2.5347049091102787,0.08364406159101803,0.6850409317346343,0.41102455904078056,0.27401637269385376,0.05508097581094186,0.03498434151310613,0.05091342175898013,1.3442692720831633,0.13566353154035868,0.007568827918531054
2027,0.7347102091390871,0.338296798390112,0.008251616436871015,0.044945135565415455,2.9008995999791525,2.592794171334246,2.5103101466395237,0.08248402469472241,0.6509824222327146,0.39058945333962874,0.2603929688930859,0.055021225708432556,0.034933724006710576,0.05098992281852255,1.3447439446892075,0.14387489718351737,0.007489222132597685,0.7417348921849628,0.34281704922881107,0.007518286606336594,0.04537486171231448,2.910784636756005,2.6016405570448735,2.515187955231522,0.08645260181335164,0.6593278025408051,0.3955966815244831,0.26373112101632207,0.05565892867561158,0.03547395628521804,0.051577763017140815,1.3397004300164004,0.1355934521328505,0.007576195972804266
2028,0.7340488910572788,0.33911419678846033,0.008244189096014756,0.044904668469482226,2.862035872987712,2.5765401969682165,2.4913547921972965,0.08518540477091975,0.6178018013173594,0.3706810807904156,0.24712072052694378,0.05558341496849639,0.035409984586554255,0.051681759780747766,1.3402950863985121,0.14377201422293265,0.007495898690333447,0.741155335312517,0.3433716512435911,0.0071367915611555335,0.045339400363212684,2.8815650195619904,2.5894909552277325,2.501080883408197,0.08841007181953585,0.6341402269229893,0.38048413615379356,0.25365609076919576,0.056067959357422384,0.035820468044747124,0.05208493865377148,1.3364915085728477,0.1354965450418825,0.007580027872329876
2029,0.7336605363134016,0.3396728730275566,0.008239827438386955,0.04488090832418422,2.830301817269828,2.566084877325352,2.479125793194331,0.08695908413102094,0.5852933734591623,0.3511760240754974,0.23411734938366494,0.055954104308259936,0.03572401534530196,0.05219683495341294,1.3373827110358265,0.14366227361157735,0.007500696866599882,0.7407258046636606,0.3436864897477193,0.0067760227161333805,0.045313121935211656,2.8576555416462974,2.5817019602063196,2.4920815685805215,0.0896203916257981,0.6092899551096266,0.3655739730657759,0.24371598204385067,0.05632396285328097,0.03603734229340455,0.05245041010564566,1.334493352064762,0.13538368188881678,0.007581696191422269
2030,0.7333998810433681,0.3400392020919737,0.008236899988511057,0.04486496204253572,2.8030382327871415,2.559202308191928,2.4710772151852023,0.08812509300672587,0.5532683626698991,0.3319610176019394,0.22130734506795968,0.05619905658055897,0.035931527511624595,0.05259631676520786,1.3354673021081793,0.14354457308888027,0.007503787346800657,0.740391522403663,0.3438377567198518,0.006772964763820821,0.04529267167519051,2.837241646384267,2.5767992829158803,2.4864684506543795,0.09033083226150071,0.5846219928831459,0.3507731957298875,0.23384879715325835,0.05647678433307853,0.036166805539594435,0.05272097317727308,1.3333042835618834,0.13526293751883536,0.007581877293563906
2031,0.7333805044661498,0.3402956028337718,0.008236682367902174,0.044863776509033323,2.780194502199876,2.5558904233273956,2.467116480260725,0.08877394306667087,0.5217967032319187,0.31307802193915124,0.2087186812927675,0.05633263300445547,0.03604468724201711,0.05289296513524125,1.334425829626092,0.14344643889937983,0.007506716237753612,0.7402541256934311,0.3439023756951176,0.006771707884117438,0.04528426629802074,2.820471848232098,2.5747569487834383,2.4841284065086686,0.09062854227476991,0.5605724028723819,0.3363434417234291,0.22422896114895274,0.056540881495356785,0.03622110567273734,0.05290785142685335,1.3328063860604198,0.13515908032934928,0.00758197797774428
2032,0.7337397981492488,0.3405255877745456,0.008240717637351607,0.04488575623915586,2.7619829412712282,2.5563701107356605,2.4673975394380743,0.08897257129758616,0.490975669721923,0.2945854018331538,0.19639026788876923,0.0563644707940444,0.03607165873579633,0.05309496528912582,1.3341779109681726,0.1433965526781467,0.007511138469955348,0.7404700370901578,0.3439619445034333,0.006773683001657128,0.04529747461327374,2.8078075472909876,2.576003918710716,2.4854486766335664,0.0905552420771495,0.537264784429035,0.3223588706574211,0.21490591377161397,0.05652055179962123,0.03620388330054553,0.0530144395003599,1.332964251955779,0.13509969432568175,0.007583711340030545
2033,0.7345022228797482,0.34077148387335804,0.008249280518824885,0.044932397416898,2.7479451477824264,2.5603445275330925,2.471544202095683,0.08880032543740951,0.4606682428112388,0.2764009456867433,0.18426729712449552,0.05631020607426418,0.036025688190388476,0.05321704860418744,1.33460054130092,0.14340561861122295,0.0075176727158643465,0.7410528478854614,0.3440526141989551,0.006779014447062866,0.045333127877514895,2.79878780143478,2.5802255183660083,2.4900400228093114,0.09018549555669716,0.5145796310424475,0.30874777862546854,0.205831852416979,0.05643079037752375,0.03612784160076121,0.053054965002715435,1.3336618610679287,0.13509042031633975,0.007587565469334661
2034,0.7355985306923991,0.3410418912055812,0.008261593280311268,0.044999463644002834,2.737091302016211,2.5670789608861764,2.478730700068545,0.08834826081763153,0.43060100324610995,0.25836060194766597,0.17224040129844398,0.05619066526681865,0.035924418781110676,0.05327951426006749,1.3355328026971067,0.14346436397660134,0.007526085736276044,0.7419366626644882,0.3441845791064237,0.006787099421262271,0.04538719502126744,2.79244196977361,2.586700807093269,2.497090232940345,0.08961057415292442,0.4922528947221087,0.2953517368332652,0.19690115788884346,0.05629224243654844,0.036010470232447356,0.053049648229455876,1.3347405141753224,0.13512629941816218,0.007593339429493939
2035,0.7369106413631631,0.3413056529577691,0.008276329748980401,0.04507973152904167,2.728540204114072,2.5758806088611874,2.488221382783617,0.08765922607757033,0.4005313688840917,0.24031882133045498,0.1602125475536367,0.05601816283784969,0.035778282750628915,0.053294501709748164,1.3368811141599348,0.14355325666473204,0.00753544001738494,0.7430014571686416,0.3443242053806851,0.006796839964527716,0.04545233367195,2.7879040790582557,2.5947488337641693,2.505879537370008,0.08886929639416144,0.47004090281374644,0.28202454168824787,0.18801636112549858,0.05611624068866591,0.03586136974182162,0.05300977879872622,1.3361140696584632,0.13518771110872474,0.007600057854502001
