,Variable,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2026-2035,SS
0,GDP ($Y_t$) Baseline,0.7353473214688737,0.7347102091390871,0.7340488910572788,0.7336605363134016,0.7333998810433681,0.7333805044661498,0.7337397981492488,0.7345022228797482,0.7355985306923991,0.7369106413631631,7.345298536572718,0.6911322148592804
1,GDP ($Y_t$) Reform,0.7423775663016842,0.7417348921849628,0.741155335312517,0.7407258046636606,0.740391522403663,0.7402541256934311,0.7404700370901578,0.7410528478854614,0.7419366626644882,0.7430014571686416,7.413100251368668,0.7034703110505574
2,Consumption ($C_t$) Baseline,0.523547744336005,0.5200437510998339,0.5143393668035483,0.5109833772549178,0.5083194713552224,0.5062587086108488,0.5047882012410596,0.503830805398866,0.5032610502037076,0.502969611492316,5.098342087796325,0.5070143108324527
3,Consumption ($C_t$) Reform,0.5285564116259321,0.5250096105822499,0.520951117263333,0.5183188536185854,0.516216967516233,0.5146330891762773,0.513584644430558,0.5129905501799954,0.5127282274547094,0.5126932105683096,5.175682682416183,0.5222549561679508
4,Capital Stock ($K_t$) Baseline,2.6135805145883904,2.592794171334246,2.5765401969682165,2.566084877325352,2.559202308191928,2.5558904233273956,2.5563701107356605,2.5603445275330925,2.5670789608861764,2.5758806088611874,25.723766699751646,2.2357172533493985
5,Capital Stock ($K_t$) Reform,2.618348970701297,2.6016405570448735,2.5894909552277325,2.5817019602063196,2.5767992829158803,2.5747569487834383,2.576003918710716,2.5802255183660083,2.586700807093269,2.5947488337641693,25.880417752813702,2.3161729615284283
6,Labor ($L_t$) Baseline,0.3371110957457728,0.338296798390112,0.33911419678846033,0.3396728730275566,0.3400392020919737,0.3402956028337718,0.3405255877745456,0.34077148387335804,0.3410418912055812,0.3413056529577691,3.398174384688901,0.33572870530811505
7,Labor ($L_t$) Reform,0.34194791941454056,0.34281704922881107,0.3433716512435911,0.3436864897477193,0.3438377567198518,0.3439023756951176,0.3439619445034333,0.3440526141989551,0.3441845791064237,0.3443242053806851,3.4360865852391287,0.33803075515221487
8,Real interest rate ($r_t$) Baseline,0.05428315432227919,0.055021225708432556,0.05558341496849639,0.055954104308259936,0.05619905658055897,0.05633263300445547,0.0563644707940444,0.05631020607426418,0.05619066526681865,0.05601816283784969,0.5582570938654594,0.06448294742783862
9,Real interest rate ($r_t$) Reform,0.05508097581094186,0.05565892867561158,0.056067959357422384,0.05632396285328097,0.05647678433307853,0.056540881495356785,0.05652055179962123,0.05643079037752375,0.05629224243654844,0.05611624068866591,0.5615093178280515,0.062495842415635494
10,Wage rate Baseline,1.3506439475351082,1.3447439446892075,1.3402950863985121,1.3373827110358265,1.3354673021081793,1.334425829626092,1.3341779109681726,1.33460054130092,1.3355328026971067,1.3368811141599348,13.384151190519061,1.2746594095273154
11,Wage rate Reform,1.3442692720831633,1.3397004300164004,1.3364915085728477,1.334493352064762,1.3333042835618834,1.3328063860604198,1.332964251955779,1.3336618610679287,1.3347405141753224,1.3361140696584632,13.35854592921697,1.2885790107323372
