Year,GDP ($Y_t$): Baseline,Labor ($L_t$): Baseline,Government Expenditures ($G_t$): Baseline,Lump sum transfers ($TR_t$): Baseline,Wealth ($B_t$): Baseline,Capital Stock ($K_t$): Baseline,Domestically-owned Capital Stock ($K^d_t$): Baseline,Foreign-owned Capital Stock ($K^f_t$): Baseline,Government Debt ($D_t$): Baseline,Domestically-owned Gov Debt ($D^d_t$): Baseline,Foreign-owned Gov Debt ($D^f_t$): Baseline,Real interest rate ($r_t$): Baseline,"Real interest rate on gov debt ($r_{gov,t}$): Baseline","Real interest rate on HH portfolio ($r_{p,t}$): Baseline",Wage rate: Baseline,Total tax revenue ($REV_t$): Baseline,Business tax revenue: Baseline,GDP ($Y_t$): Reform,Labor ($L_t$): Reform,Government Expenditures ($G_t$): Reform,Lump sum transfers ($TR_t$): Reform,Wealth ($B_t$): Reform,Capital Stock ($K_t$): Reform,Domestically-owned Capital Stock ($K^d_t$): Reform,Foreign-owned Capital Stock ($K^f_t$): Reform,Government Debt ($D_t$): Reform,Domestically-owned Gov Debt ($D^d_t$): Reform,Foreign-owned Gov Debt ($D^f_t$): Reform,Real interest rate ($r_t$): Reform,"Real interest rate on gov debt ($r_{gov,t}$): Reform","Real interest rate on HH portfolio ($r_{p,t}$): Reform",Wage rate: Reform,Total tax revenue ($REV_t$): Reform,Business tax revenue: Reform
2025,0.7686741254008067,0.3492551043955332,0.06994934541147341,0.03997106180295859,2.6041647489338056,2.7843280061227977,2.1475723184457265,0.6367556876770715,0.7609873841467987,0.4565924304880792,0.3043949536587195,0.05212682892310881,0.005,0.04201120774975584,1.3645549860044563,0.14005718230668285,0.007741741775437121,0.7783328120652675,0.35439873101196345,0.06924985195735867,0.03997106180295859,2.6041647489338056,2.809519874363235,2.1475723184457265,0.6619475559175083,0.7609873841467987,0.4565924304880792,0.3043949536587195,0.05247949390045044,0.005,0.0423600816446111,1.3616475947806137,0.1353464782931185,0.007848457672542932
2026,0.7690615706996282,0.35031683112174417,0.06998460293366617,0.03999121679259954,2.5745049481340567,2.774249380393397,2.1170150586703724,0.6572343217230245,0.7624831491061405,0.45748988946368424,0.3049932596424562,0.05254552476494044,0.007,0.042726339064571406,1.361105037883411,0.14026652329092926,0.007756708247547193,0.7784122900250834,0.3551610034146257,0.06859190933528621,0.03999121679259954,2.581778316235175,2.8004405222986524,2.1219468725161956,0.678493649782457,0.766385739531632,0.45983144371897916,0.30655429581265287,0.052819021928995465,0.007,0.04297408542604486,1.3588638524155363,0.13550822907844148,0.007858284568478249
2027,0.7683042141883901,0.35082182213773583,0.0699156834911435,0.039951817532452596,2.5443858362851604,2.7605699040688756,2.084709531129276,0.6758603729395997,0.7661271752598073,0.45967630515588437,0.30645087010392297,0.052948374503783056,0.009,0.04340114169282562,1.3578072574144562,0.1401410812052295,0.007759618746743593,0.7774979586940266,0.3554307636272941,0.06783911777577305,0.039951817532452596,2.5590496701797836,2.7883361401948985,2.0950957066567693,0.6932404335381295,0.7732566058716906,0.4639539635230143,0.3093026423486763,0.053141033941028246,0.009,0.043557543734400614,1.3562375307713181,0.13539305212152425,0.007857548380909364
2028,0.7676589718775967,0.35109205391608433,0.0698569664408613,0.039918261339920845,2.5260726013816996,2.751014781551137,2.06295226528059,0.6880625162705474,0.7718672268351829,0.4631203361011097,0.30874689073407324,0.05321665940502254,0.01,0.04374779927231524,1.3556226687407988,0.14003159028459256,0.007760075439147793,0.7766723051697852,0.355486842884606,0.06710432323379525,0.039918261339920845,2.546460167776252,2.7798350471679574,2.0775442034122835,0.7022908437556739,0.781526607273281,0.4689159643639686,0.31261064290931245,0.05334467417121719,0.01,0.043832817534218686,1.3545835218553925,0.13528162529768534,0.0078545426536821
2029,0.766811934450446,0.3511777314657545,0.06977988603499059,0.03987421538508007,2.5112614775559763,2.741942061221965,2.0439675811454507,0.6979744800765144,0.7788231606842095,0.46729389641052566,0.3115292642736839,0.05344180708728404,0.01,0.04383206751588186,1.353796456439342,0.1397896676801476,0.007757330531842948,0.7756850728730115,0.3553882706352899,0.06703028010346668,0.03987421538508007,2.5366456829156823,2.771800000417259,2.0624396617684044,0.7093603386488545,0.7903433685787963,0.4742060211472777,0.31613734743151856,0.053510953009804164,0.01,0.04385700685631962,1.3532368976485332,0.13504791662991877,0.00784889650322808
2030,0.7659052734072169,0.35116007891547657,0.06969737988005674,0.03982707031676008,2.4994565873179115,2.7336428759586435,2.0275421239167084,0.7061007520419352,0.7865241056686724,0.47191446340120335,0.314609642267469,0.053631394166828474,0.01,0.043882626494004824,1.3522636924823446,0.13955347637890794,0.007753031616814407,0.7746534027527343,0.3552096621507607,0.06695102502023678,0.03982707031676008,2.529276966324231,2.764375531848322,2.049340261190789,0.715035270657533,0.7998945085557374,0.4799367051334424,0.319957803422295,0.05364962071908039,0.01,0.04385371893965591,1.3521165737153582,0.13481970511305902,0.007842059322963963
2031,0.765102689308962,0.35112196130369966,0.06962434472711554,0.03978533800551435,2.4909359029322378,2.7265938878687397,2.0138175239265546,0.7127763639421849,0.7951972983428053,0.4771183790056831,0.3180789193371222,0.05378895989459129,0.01,0.04390166051930179,1.3509932817552883,0.13934945660496262,0.007748939483613259,0.7737411681578702,0.3550317552309075,0.06688086774373173,0.03978533800551435,2.524720008245333,2.758070554348638,2.0384729706646505,0.7195975836839875,0.8104117293011375,0.48624703758068244,0.32416469172045503,0.053763166721565975,0.01,0.043824395236657765,1.3512010278073547,0.13462266261330794,0.007835763167976259
2032,0.7644636486810122,0.35110607380878933,0.06956619202997211,0.0397521103696193,2.4852672108489395,2.7208058132132096,2.0023969985393517,0.7184088146738579,0.8047836871826465,0.4828702123095878,0.32191347487305866,0.053921641832651065,0.01,0.04389564306138926,1.3499259346671941,0.13918557155733563,0.007745850291712,0.7730059133369204,0.35489448233503007,0.066825006494885,0.0397521103696193,2.522609772347555,2.752915302525058,2.029507106107304,0.7234081964177543,0.8218377770670847,0.4931026662402508,0.32873511082683393,0.053857809651606865,0.01,0.04377483373143133,1.3504391464464085,0.13446430175710866,0.00783075931933431
2033,0.7639800178242221,0.3511278494196536,0.06952218162200421,0.03972696422719511,2.4815952248627995,2.7160035933843787,1.9925792586712912,0.7234243347130873,0.8150266103191809,0.48901596619150844,0.32601064412767244,0.0540384366587025,0.01,0.04387352026874601,1.3489882239911632,0.1390572010455412,0.007743918782956778,0.7724368357755895,0.35481054081097074,0.06678273027259257,0.03972696422719511,2.5221393006494948,2.748645830103861,2.021790399724929,0.726855430378932,0.833914834874276,0.5003489009245656,0.3335659339497104,0.053941772264008384,0.01,0.0437133795083222,1.3497641876528803,0.1343399605371553,0.007827155616198001
2034,0.7635549961793298,0.35115259147143424,0.069483504652319,0.03970486586024097,2.4791647269909642,2.711717359548276,1.9837644333961977,0.7279529261520784,0.8256671559912777,0.4954002935947665,0.3302668623965112,0.054143929478640815,0.01,0.04384018228737279,1.3481427254481018,0.1389447488303463,0.007742284920636944,0.7719342282736039,0.3547426289750438,0.06674557732983408,0.03970486586024097,2.5225908310234533,2.744798911506728,2.0147617842313097,0.7300371272754183,0.8463817446535727,0.5078290467921437,0.33855269786142905,0.054019003712454605,0.01,0.04364441573649688,1.349144122554598,0.13423064179113206,0.007824046200323582
