Year,GDP ($Y_t$): Baseline,Labor ($L_t$): Baseline,Government Expenditures ($G_t$): Baseline,Lump sum transfers ($TR_t$): Baseline,Wealth ($B_t$): Baseline,Capital Stock ($K_t$): Baseline,Domestically-owned Capital Stock ($K^d_t$): Baseline,Foreign-owned Capital Stock ($K^f_t$): Baseline,Government Debt ($D_t$): Baseline,Domestically-owned Gov Debt ($D^d_t$): Baseline,Foreign-owned Gov Debt ($D^f_t$): Baseline,Real interest rate ($r_t$): Baseline,"Real interest rate on gov debt ($r_{gov,t}$): Baseline","Real interest rate on HH portfolio ($r_{p,t}$): Baseline",Wage rate: Baseline,Total tax revenue ($REV_t$): Baseline,Business tax revenue: Baseline,GDP ($Y_t$): Reform,Labor ($L_t$): Reform,Government Expenditures ($G_t$): Reform,Lump sum transfers ($TR_t$): Reform,Wealth ($B_t$): Reform,Capital Stock ($K_t$): Reform,Domestically-owned Capital Stock ($K^d_t$): Reform,Foreign-owned Capital Stock ($K^f_t$): Reform,Government Debt ($D_t$): Reform,Domestically-owned Gov Debt ($D^d_t$): Reform,Foreign-owned Gov Debt ($D^f_t$): Reform,Real interest rate ($r_t$): Reform,"Real interest rate on gov debt ($r_{gov,t}$): Reform","Real interest rate on HH portfolio ($r_{p,t}$): Reform",Wage rate: Reform,Total tax revenue ($REV_t$): Reform,Business tax revenue: Reform
2025,0.7686741254008067,0.3492551043955332,0.06994934541147341,0.03997106180295859,2.6041647489338056,2.7843280061227977,2.1475723184457265,0.6367556876770715,0.7609873841467987,0.4565924304880792,0.3043949536587195,0.05212682892310881,0.005,0.04201120774975584,1.3645549860044563,0.14005718230668285,0.007741741775437121,0.7775983407554761,0.35400748950409044,0.06994934541147341,0.03997106180295859,2.6041647489338056,2.8076036962944295,2.1475723184457265,0.660031377848703,0.7609873841467987,0.4565924304880792,0.3043949536587195,0.05245284482198632,0.005,0.042333687617782056,1.3618667213257145,0.13523487085102773,0.007840343226098872
2026,0.7690615706996282,0.35031683112174417,0.06998460293366617,0.03999121679259954,2.5745049481340567,2.774249380393397,2.1170150586703724,0.6572343217230245,0.7624831491061405,0.45748988946368424,0.3049932596424562,0.05254552476494044,0.007,0.042726339064571406,1.361105037883411,0.14026652329092926,0.007756708247547193,0.778494928762387,0.35485675762627056,0.06998460293366617,0.03999121679259954,2.5796079806901058,2.805142594363098,2.1343312173417965,0.6708113770213014,0.7658923751212232,0.44527676334830907,0.32061561177291414,0.05265901038782901,0.007,0.04286633167318689,1.3601738978525555,0.13539230602735666,0.007854874320043692
2027,0.7683042141883901,0.35082182213773583,0.0699156834911435,0.039951817532452596,2.5443858362851604,2.7605699040688756,2.084709531129276,0.6758603729395997,0.7661271752598073,0.45967630515588437,0.30645087010392297,0.052948374503783056,0.009,0.04340114169282562,1.3578072574144562,0.1401410812052295,0.007759618746743593,0.7788605605781194,0.3552911657882737,0.0699156834911435,0.039951817532452596,2.56013920721056,2.8030102271594473,2.125811293358799,0.6771989338006481,0.7729755471381412,0.43432791385176106,0.33864763328638015,0.05278418516494579,0.009,0.0433198772806383,1.3591487766534374,0.13546570548130174,0.007861887806606464
2028,0.7676589718775967,0.35109205391608433,0.0698569664408613,0.039918261339920845,2.5260726013816996,2.751014781551137,2.06295226528059,0.6880625162705474,0.7718672268351829,0.4631203361011097,0.30874689073407324,0.05321665940502254,0.01,0.04374779927231524,1.3556226687407988,0.14003159028459256,0.007760075439147793,0.7789528839381045,0.35543912211101714,0.0698569664408613,0.039918261339920845,2.5459558115255305,2.8019806223238586,2.1223027964567067,0.6796778258671518,0.7819731287766801,0.42365301506882397,0.35832011370785616,0.05283368308948716,0.01,0.04348788182072186,1.3587439758696598,0.13541178178739025,0.007864132041145869
2029,0.766811934450446,0.3511777314657545,0.06977988603499059,0.03987421538508007,2.5112614775559763,2.741942061221965,2.0439675811454507,0.6979744800765144,0.7788231606842095,0.46729389641052566,0.3115292642736839,0.05344180708728404,0.01,0.04383206751588186,1.353796456439342,0.1397896676801476,0.007757330531842948,0.7788682871726865,0.35542185112555386,0.06977988603499059,0.03987421538508007,2.5345505348803257,2.8014019830776182,2.1213146936928,0.6800872893848182,0.7921382161981464,0.4132358411875257,0.3789023750106207,0.05284366801076356,0.01,0.04339943243941765,1.3586623558815036,0.13523024052824617,0.007863542325292528
2030,0.7659052734072169,0.35116007891547657,0.06969737988005674,0.03982707031676008,2.4994565873179115,2.7336428759586435,2.0275421239167084,0.7061007520419352,0.7865241056686724,0.47191446340120335,0.314609642267469,0.053631394166828474,0.01,0.043882626494004824,1.3522636924823446,0.13955347637890794,0.007753031616814407,0.7787325602314397,0.3553177556847949,0.06969737988005674,0.03982707031676008,2.525648176421586,2.801456053472283,2.1224424880548263,0.6790135654174567,0.8029966629678665,0.4032056883667599,0.39979097460110663,0.05282395713497501,0.01,0.04328363802456461,1.3588234896248086,0.13505416130162026,0.007861649492033608
2031,0.765102689308962,0.35112196130369966,0.06962434472711554,0.03978533800551435,2.4909359029322378,2.7265938878687397,2.0138175239265546,0.7127763639421849,0.7951972983428053,0.4771183790056831,0.3180789193371222,0.05378895989459129,0.01,0.04390166051930179,1.3509932817552883,0.13934945660496262,0.007748939483613259,0.778713833887252,0.35520908956637376,0.06962434472711554,0.03978533800551435,2.519618109970472,2.802677126694969,2.125949059561193,0.6767280671337758,0.8147843683085368,0.3936690504092792,0.42111531789925766,0.05277713898544942,0.01,0.04314212887890864,1.3592064241568267,0.1349096822479722,0.007860218878861385
2032,0.7644636486810122,0.35110607380878933,0.06956619202997211,0.0397521103696193,2.4852672108489395,2.7208058132132096,2.0023969985393517,0.7184088146738579,0.8047836871826465,0.4828702123095878,0.32191347487305866,0.053921641832651065,0.01,0.04389564306138926,1.3499259346671941,0.13918557155733563,0.007745850291712,0.7788696005710894,0.35513662050809086,0.06956619202997211,0.0397521103696193,2.5160955310457047,2.805086360407131,2.1314773883747318,0.673608972032399,0.827449578202888,0.3846181426709729,0.4428314355319151,0.05271005050686253,0.01,0.042981159736403894,1.3597556492029832,0.13480445646921266,0.00786000981082786
2033,0.7639800178242221,0.3511278494196536,0.06952218162200421,0.03972696422719511,2.4815952248627995,2.7160035933843787,1.9925792586712912,0.7234243347130873,0.8150266103191809,0.48901596619150844,0.32601064412767244,0.0540384366587025,0.01,0.04387352026874601,1.3489882239911632,0.1390572010455412,0.007743918782956778,0.7791856392711749,0.3551133751882168,0.06952218162200421,0.03972696422719511,2.5142743113204014,2.8083825501101574,2.1382974643377652,0.6700850857723923,0.840739609534818,0.37597684698263606,0.4647627625521819,0.05263187662574667,0.01,0.04280966869489888,1.360396363213491,0.13473365964817646,0.00786111966805384
2034,0.7635549961793298,0.35115259147143424,0.069483504652319,0.03970486586024097,2.4791647269909642,2.711717359548276,1.9837644333961977,0.7279529261520784,0.8256671559912777,0.4954002935947665,0.3302668623965112,0.054143929478640815,0.01,0.04384018228737279,1.3481427254481018,0.1389447488303463,0.007742284920636944,0.7795564157993882,0.3551011406492977,0.069483504652319,0.03970486586024097,2.5134349078839247,2.8120587550077256,2.14576971599368,0.6662890390140458,0.8543967489281246,0.3676651918902449,0.4867315570378797,0.05254729019281232,0.01,0.04263243045297849,1.3610905303167997,0.13467772357418378,0.007862605691340554
