,model,var,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
0,TCJA_TMD##frisch##0.4##zeta_D##0.4##g_y_annual##0.02##tG1##20,diff_rev,-0.30990215312262226,-0.3298119085891899,-0.3407148076595944,-0.3573160529520719,-0.37356581181061277,-0.3884526224051148,-0.4030130234994889,-0.42053034620926505,-0.43987786395749107,-0.4590174711733031
1,TCJA_TMD##frisch##0.4##zeta_D##0.4##g_y_annual##0.02##tG1##20,diff_spend,0.06862304722760308,0.07128735382706534,0.07450791655405256,0.07724518660941608,0.07872915657154811,0.07981593270815944,0.08063561427396256,0.08085773873136916,0.08032697662652569,0.0787466444241908
2,TCJA_TMD##frisch##0.6##zeta_D##0.4##g_y_annual##0.02##tG1##20,diff_rev,-0.2903861819719479,-0.31079789159685134,-0.32161629015291915,-0.33849171688390084,-0.35496309180748303,-0.36996909796736654,-0.38479219688824295,-0.40216552328239086,-0.42132888087819226,-0.4402301322644187
3,TCJA_TMD##frisch##0.6##zeta_D##0.4##g_y_annual##0.02##tG1##20,diff_spend,0.09253428092666939,0.09472748477505867,0.09926647351025822,0.10225259192821819,0.10388007956477875,0.10544464658074341,0.10668254982811062,0.10747224106701692,0.10752915223969939,0.10661234465431693
4,TCJA_TMD##frisch##0.4##zeta_D##0.6##g_y_annual##0.02##tG1##20,diff_rev,-0.3176207021180882,-0.33961975450040216,-0.33469696972658747,-0.3504821653652375,-0.36670824856594225,-0.38180290206950035,-0.3967384425426438,-0.41446204834824446,-0.43416191787340475,-0.4536061702216951
5,TCJA_TMD##frisch##0.4##zeta_D##0.6##g_y_annual##0.02##tG1##20,diff_spend,0.05948048954995535,0.060202231747405764,0.09328896302701793,0.09913402044892805,0.10237679685998778,0.10521649268764048,0.10776869592026607,0.10999933355381485,0.11161674832882351,0.11237070827429645
6,TCJA_TMD##frisch##0.4##zeta_D##0.4##g_y_annual##0.02##tG1##40,diff_rev,-0.30975515490573907,-0.3296222499332185,-0.340476271938704,-0.35701130746620025,-0.3731772437608864,-0.3879594575618372,-0.4023881362084828,-0.41973401531945304,-0.43885999475310566,-0.45771889944864685
7,TCJA_TMD##frisch##0.4##zeta_D##0.4##g_y_annual##0.02##tG1##40,diff_spend,0.06880030655620673,0.07152901735668037,0.07482864159535631,0.07766995162473764,0.07928160418492115,0.0805312064024445,0.0815593440794955,0.08204779896270246,0.08185568063703821,0.08070142677457004
8,TCJA_TMD_immig##frisch##0.4##zeta_D##0.4##g_y_annual##0.02##tG1##20##immig_mil##1,diff_rev,-0.28985953942850445,-0.3084601444629069,-0.31828825263570987,-0.3336700467109603,-0.3487255918824122,-0.3624769271015747,-0.37599467617916604,-0.39218424671878227,-0.41011161316784356,-0.42780524803264697
9,TCJA_TMD_immig##frisch##0.4##zeta_D##0.4##g_y_annual##0.02##tG1##20##immig_mil##1,diff_spend,0.09309713207486953,0.09757686371895533,0.10318683401979366,0.10822145655203104,0.11183204995732707,0.11527169599818446,0.11852584659176806,0.12130488676604397,0.12336327374060167,0.12442677965105822
